domain,control_diff,experimental_diff,diff_in_diff
necb.bank,0.0,0.0,0.0
terabox.com,0.0,0.0,0.0
kroger.com,0.09220834262940292,0.05876996636643783,-0.033438376262965086
crowdstrike.com,0.25388985328907654,0.26788845644258275,0.013998603153506206
wizzair.com,0.0,0.0,0.0
google.kg,0.22857892114767298,0.20695366793083825,-0.021625253216834728
google.com.ag,0.15762515157268386,0.14906977997732473,-0.00855537159535913
google.com.jm,0.1544778123782401,0.17785715476902297,0.023379342390782876
nrk.no,0.0034995625546806464,0.0034995625546806464,0.0
distmed.com,0.0,0.0,0.0
google.com.om,0.20455511235224622,0.21921625034450343,0.014661137992257212
google.hn,0.2769800225541802,0.24312151057935394,-0.033858511974826255
mywot.com,0.0,0.0,0.0
wapbold.net,0.7815226406763118,0.7824859128425302,0.0009632721662183874
google.gg,0.16409736661260343,0.1637769057100309,-0.0003204609025725391
zlib.net,0.0,0.0,0.0
google.com.ni,0.22223782348444787,0.22235427472424374,0.00011645123979586725
apple.co,0.04222008391673415,0.01315515834673231,-0.029064925570001843
google.com.mt,0.26889863336775166,0.26287330034393186,-0.006025333023819801
bokepmama.hair,0.01338199513381999,0.01338199513381999,0.0
poe.com,0.0,0.0,0.0
google.com.qa,0.19678677884342444,0.20421372402129623,0.007426945177871791
congbisajp.com,0.06000000000000005,0.03703703703703709,-0.022962962962962963
byu.edu,0.07355187646163552,0.07355187646163552,0.0
buffer.com,0.012383770076077716,0.0008140008140008481,-0.011569769262076868
riskified.com,0.06187213325670948,0.12148914967901192,0.05961701642230244
metlife.com,0.017937328703389377,0.04082574153242868,0.022888412829039306
bluecore.com,0.0,0.0,0.0
safeway.com,0.1780063293054175,0.2430348582569175,0.06502852895150002
google.com.gi,0.14940777581954812,0.13192111865441258,-0.017486657165135533
healthcare.gov,0.0,0.0,0.0
wampserver.com,0.0,0.0,0.0
google.co.bw,0.11151278677842724,0.11151278677842724,0.0
google.com.mm,0.238235117346404,0.2521017074447697,0.013866590098365661
hihonor.com,0.0,0.0,0.0
google.bi,0.23056361330012975,0.19771378345344548,-0.032849829846684275
google.dm,0.0,0.0,0.0
business-standard.com,0.06716278036920964,0.04731552226863189,-0.019847258100577747
firstvds.ru,0.0,0.0,0.0
rfi.fr,0.0015815911205191435,0.0013586967058930588,-0.00022289441462608472
tinkercad.com,0.09322345582988989,0.18156701618345827,0.08834356035356838
google.com.ly,0.14635441400719207,0.11482479536005064,-0.03152961864714143
tradedoubler.com,0.00047566196289838825,0.00031710797526562917,-0.00015855398763275907
getepic.com,0.012941176470588234,0.012941176470588234,0.0
tappx.com,0.0006289308176100628,0.0006289308176100628,0.0
eonline.com,0.21744149595978413,0.21744149595978413,0.0
gigaset-elements.com,0.0,0.0,0.0
clicktripz.com,0.0,0.0,0.0
dpbosss.com,0.0,0.0,0.0
google.com.kw,0.09454764361885104,0.11509288750761948,0.02054524388876844
womenshealthmag.com,0.0,0.0,0.0
google.com.et,0.09135170257977276,0.09135170257977276,0.0
yedherex.com,0.0,0.0,0.0
google.com.bh,0.10790069064062868,0.14533705239792039,0.0374363617572917
google.ps,0.08989077863068284,0.10648256094844144,0.016591782317758597
google.cg,0.09855118276170904,0.12152046783625725,0.022969285074548207
ct.gov,0.0,0.0,0.0
csmonitor.com,0.08625209348338447,0.10723196627464782,0.020979872791263343
google.com.gh,0.09963636363636363,0.09159264453794613,-0.008043719098417501
apnaludo.com,0.0,0.0,0.0
google.mu,0.07832059377423284,0.05649717514124297,-0.021823418632989866
gene.com,0.0,0.0,0.0
keenetic.link,0.0,0.0,0.0
google.com.bz,0.0,0.019230769230769273,0.019230769230769273
onefootball.com,0.32258064516129026,0.32258064516129026,0.0
survicate.com,0.06917365642981554,0.06491100832218066,-0.004262648107634881
meituan.net,0.0,0.09090909090909094,0.09090909090909094
bongacams.com,0.028869949533260608,0.036472629002895496,0.007602679469634888
google.cd,0.1121368201118722,0.10637296407420249,-0.005763856037669712
routledge.com,0.07120930141007231,0.07120930141007231,0.0
kucoin.com,0.015204158586511474,0.0074914901398148714,-0.007712668446696602
google.com.bn,0.11299113042989806,0.11264492413817917,-0.00034620629171888684
google.sn,0.10656965944272445,0.08990368077055388,-0.016665978672170567
urban-vpn.com,0.0,0.0,0.0
zoominfo.com,0.038461538461538436,0.0357142857142857,-0.0027472527472527375
farfetch.com,0.030349665569418316,0.020121021218811652,-0.010228644350606664
verisign.net,0.0,0.0,0.0
google.co.zm,0.09547833519661952,0.07480893264573985,-0.02066940255087968
google.com.ai,0.039010009598244855,0.03962025316455697,0.0006102435663121186
mysterium.network,0.015128955458223903,0.010988216583532107,-0.004140738874691796
google.co.ug,0.03962025316455697,0.0569972904416004,0.017377037277043428
google.fm,0.018181818181818188,0.0,-0.018181818181818188
google.com.na,0.05769230769230771,0.0406022548879692,-0.017090052804338507
google.sc,0.09242081447963801,0.10980185758513927,0.01738104310550126
google.co.ck,0.0,0.01988700564971746,0.01988700564971746
neilpatel.com,0.0012077294685990392,0.0012077294685990392,0.0
teleparty.com,0.0,0.0,0.0
particlenews.com,0.027709694989106803,0.027709694989106803,0.0
nag.ru,0.0,0.0,0.0
rajshaladarpan.nic.in,0.04635012919896642,0.0448868071818892,-0.0014633220170772177
google.tk,0.05649717514124297,0.016949152542372836,-0.039548022598870136
snssdk.com,0.0,0.0,0.0
google.us,0.019388398486759106,0.0,-0.019388398486759106
google.bf,0.13307365427888473,0.14641106879302235,0.013337414514137613
elconfidencial.com,0.04297980151625003,0.038948130487726496,-0.004031671028523531
gazeta.pl,0.16160520607375273,0.1596091205211726,-0.001996085552580129
google.co.tz,0.11255016626533654,0.155129237189099,0.04257907092376245
google.ml,0.09187714543594172,0.09187966516665624,2.5197307145230496e-06
google.co.ls,0.12870988903502534,0.1285764878430995,-0.00013340119192584154
google.li,0.11325261484394611,0.11342163192008392,0.0001690170761378118
google.co.ao,0.1094304624541983,0.12540168650577266,0.015971224051574362
elespanol.com,0.0029750002069208747,0.06073802514236282,0.05776302493544194
hotmart.com,0.010819980080506997,0.009520434921312715,-0.001299545159194282
leetcode.com,0.01851851851851849,0.01851851851851849,0.0
kku.ac.th,0.02310654685494229,0.060245009439270025,0.037138462584327736
google.mw,0.20129096325719964,0.1241037376048818,-0.07718722565231784
google.ki,0.01988700564971746,0.01807909604519775,-0.0018079096045197085
sendpulse.com,0.0,0.0,0.0
userreport.com,0.0,0.0,0.0
google.tt,0.038461538461538436,0.019230769230769273,-0.019230769230769162
utdallas.edu,0.052640039934928495,0.06815138350749483,0.015511343572566338
box.net,0.035443095122069446,0.03033004506150283,-0.005113050060566615
hotstar.com,0.0,0.0,0.0
gnome.org,0.019607843137254943,0.019607843137254943,0.0
google.so,0.15781032560255903,0.14022785522307946,-0.017582470379479576
verizonwireless.com,0.01352159126043495,0.014720581553839152,0.0011989902934042007
google.com.sl,0.039010009598244855,0.0,-0.039010009598244855
google.cv,0.13660990712074306,0.13736842105263158,0.000758513931888527
google.bj,0.19357840119217795,0.16484417850613564,-0.02873422268604231
etoote.com,0.00851851851851848,0.008679245283018888,0.00016072676450040735
prtimes.jp,0.0014991631586767085,0.07688190606053857,0.07538274290186187
prodigygame.com,0.1819535221496006,0.18086419753086425,-0.0010893246187363426
google.co.vi,0.019607843137254943,0.0,-0.019607843137254943
google.ms,0.018865628042843197,0.04335544092360599,0.024489812880762796
google.mk,0.13366978880412161,0.11303059482979338,-0.02063919397432823
google.rw,0.05977401129943505,0.05758365927857456,-0.0021903520208604865
google.mv,0.05962025316455699,0.038843385455447965,-0.020776867709109026
google.ws,0.0,0.0,0.0
google.co.zw,0.019230769230769273,0.01851851851851849,-0.0007122507122507837
superawesome.tv,0.0,0.0,0.0
doxygen.org,0.08818994734707752,0.08766868534433403,-0.0005212620027434944
ebscohost.com,0.0,0.0,0.0
icloud.com.cn,0.0,0.0,0.0
alltrails.com,0.017147728656680128,0.009847996846434559,-0.007299731810245569
disney.co.jp,9.345794392523477e-05,0.0,-9.345794392523477e-05
jwplatform.com,0.0003138731952291307,0.001271727601359407,0.0009578544061302763
segmento.ru,0.018115942028985477,0.024888819070999935,0.006772877042014458
icicibank.com,0.015123506509400308,0.018146774140078592,0.0030232676306782835
google.gl,0.12847666786694856,0.1326032049649244,0.004126537097975835
google.com.af,0.12458098598487,0.12682855826756756,0.002247572282697563
joyn.de,0.0,0.0,0.0
google.la,0.16905663125474768,0.15004314915230543,-0.019013482102442247
sina.cn,0.23729640166535226,0.493979178922224,0.2566827772568717
tclking.com,0.019230769230769273,0.0,-0.019230769230769273
google.mg,0.12913193617527985,0.12500858471008336,-0.00412335146519649
google.tm,0.12402532563523272,0.12269058532216426,-0.001334740313068461
google.pn,0.0,0.0,0.0
revjet.com,0.007293025953313048,0.007293025953313048,0.0
pingdom.net,0.0,0.0,0.0
lever.co,0.00016534391534395176,0.00017170329670324058,6.359381359288818e-06
google.je,0.07672135556750936,0.051543284301905024,-0.02517807126560434
google.nu,0.0,0.03835289004780529,0.03835289004780529
desjardins.com,0.0,0.0,0.0
google.nr,0.040000000000000036,0.0,-0.040000000000000036
google.al,0.12073135113032307,0.1348243834738977,0.014093032343574619
google.ht,0.120518922923735,0.10386493329653879,-0.01665398962719622
google.com.cy,0.018509672796751864,0.0,-0.018509672796751864
panorama9.com,0.0,0.0,0.0
google.gm,0.020000000000000018,0.0444444444444444,0.02444444444444438
google.dj,0.10556894531075267,0.08868711810121943,-0.01688182720953324
aralego.com,0.0,0.0,0.0
google.com.sb,0.0,0.019230769230769273,0.019230769230769273
google.sh,0.05962025316455699,0.03389830508474578,-0.025721948079811208
google.vg,0.038461538461538436,0.03448275862068961,-0.003978779840848823
ahagamecenter.com,0.0,0.0,0.0
dbankcloud.asia,0.0,0.0,0.0
theathletic.com,0.06416355193113599,0.11014218059802927,0.045978628666893284
google.vu,0.01851851851851849,0.018509672796751864,-8.845721766626014e-06
google.com.vc,0.037735849056603765,0.023255813953488413,-0.014480035103115352
google.st,0.0967377653910162,0.1142624123894167,0.017524646998400506
libpng.org,0.03563906314654697,0.043103769303336925,0.0074647061567899575
pstatic.net,0.0,0.0,0.0
gravitational.io,0.003585397653194211,0.003585397653194211,0.0
allawntech.com,0.019230769230769273,0.0,-0.019230769230769273
mintegral.com,0.0,0.0020283975659228792,0.0020283975659228792
google.td,0.13215686274509808,0.11595887610257605,-0.016197986642522033
refinery29.com,0.08446455505279038,0.13255762546807326,0.04809307041528288
radiofrance.fr,0.10493298936031525,0.10493298936031525,0.0
iso.ch,0.0,0.0,0.0
google.sm,0.17064818088944045,0.16333223259119423,-0.007315948298246222
lightboxcdn.com,0.039215686274509776,0.04081632653061229,0.0016006402561025146
insurads.com,0.0,0.0,0.0
cyberark.com,0.0,0.0,0.0
google.tg,0.09014755808440023,0.12516170238817592,0.035014144303775696
elster.de,0.0,5.888241182361309e-05,5.888241182361309e-05
legislation.gov.uk,0.0,0.0,0.0
google.gy,0.018867924528301883,0.0574905863367402,0.03862266180843832
pg.com,0.0,0.0,0.0
nsf.gov,0.0,0.0,0.0
lastampa.it,0.023445730074734383,0.0313767109335521,0.007930980858817716
convertkit.com,0.0,0.0,0.0
brevo.com,0.0,0.0,0.0
datastax.com,0.02160823733074213,0.024664805870107664,0.003056568539365534
uq.edu.au,0.07116151033321005,0.07406606177538189,0.002904551442171832
google.com.fj,0.03910490749972306,0.041548964218455775,0.0024440567187327122
openweathermap.org,0.003272727272727316,0.010423963615452947,0.007151236342725631
google.gp,0.06025429553264605,0.08815886699507391,0.027904571462427863
justgiving.com,0.03968253968253965,0.03968253968253965,0.0
makeuseof.com,0.1405175957182756,0.14564920614795285,0.005131610429677247
meteofrance.com,0.019289550586319093,0.011168784219871442,-0.008120766366447651
google.im,0.019230769230769273,0.03728838839585358,0.018057619165084304
uefa.com,0.006644518272425293,0.006644518272425293,0.0
scoop.it,0.026581735551254093,0.026581735551254093,0.0
desmos.com,0.0993474276285986,0.10049782364365234,0.001150396015053734
booth.pm,0.0018241155781671958,0.0018241155781671958,0.0
shopee.sg,0.9943820224719101,1.0,0.005617977528089901
nespresso.com,0.17647058823529416,0.17647058823529416,0.0
ama-assn.org,0.005923517802018163,0.004782549592500018,-0.001140968209518145
cnrs.fr,0.0017702756560193933,0.001798256572933865,2.79809169144718e-05
ec-lyon.fr,0.0,0.0,0.0
warthunder.com,0.02165876630684882,0.020598683620399294,-0.001060082686449526
jampp.com,0.0,0.0,0.0
lequipe.fr,0.011751412488229307,0.013743347972100195,0.001991935483870888
