domain,control_diff,experimental_diff,diff_in_diff
pansy.pw,0.0,0.0,0.0
stlouisfed.org,0.0,0.0,0.0
leeds.ac.uk,0.002777777777777768,0.0,-0.002777777777777768
convertio.co,0.0,0.0,0.0
lolesports.com,0.007099900099900136,0.007809890109890083,0.000709990009989947
unixtools.org,0.0,0.0,0.0
hwccpc.com,0.0,0.0,0.0
emerald.com,0.25651189086655213,0.25651189086655213,0.0
artnet.com,0.0,0.010193679918450549,0.010193679918450549
chinanews.com.cn,0.0031556710877964633,0.004157173843685191,0.001001502755888728
groww.in,0.00018244845831050238,0.00018244845831050238,0.0
irna.ir,0.007866905890335674,0.003548774143254829,-0.0043181317470808445
clinch.co,0.0,0.0,0.0
jiathis.com,0.0,0.0,0.0
lbl.gov,0.0,0.0,0.0
sony.net,0.0,0.0,0.0
mehrnews.com,0.11966874613739742,0.13618096203347274,0.016512215896075322
gopsahome.info,0.0,0.0,0.0
tube8.com,0.0,0.0,0.0
gitee.com,0.003648092507191225,0.0034826086061069406,-0.00016548390108428457
local.ch,0.0015592903828197668,0.0015592903828197668,0.0
vrtcal.com,0.0,0.0,0.0
pin.it,0.1945201615315516,0.12667337932337241,-0.06784678220817919
ahnlab.com,0.0,0.01965517241379311,0.01965517241379311
clickbank.net,0.03248961475252188,0.03188795522006782,-0.0006016595324540575
cntv.cn,0.014776479238281293,0.03545513715250548,0.020678657914224186
deepai.org,0.0,0.0,0.0
pfizer.com,0.045122728764952824,0.025225710675767288,-0.019897018089185536
vidio.com,0.042833313720039734,0.042466283191523235,-0.00036703052851649876
trenitalia.com,0.0,0.0,0.0
apkmirror.com,0.09615439939088544,0.12511816302310919,0.02896376363222375
pixlr.com,0.0,0.0,0.0
rustore.ru,0.04293772893772896,0.062188960464822474,0.019251231527093515
boe.es,0.0,0.0,0.0
macworld.com,0.02043031401090989,0.01752442683418609,-0.002905887176723798
telenor.se,0.0,0.0,0.0
boun.edu.tr,0.0,0.0,0.0
semana.com,0.0,0.0,0.0
cfr.org,0.0002548419979612193,0.0002548419979612193,0.0
kinoafisha.info,0.10388250879394978,0.11020692407048205,0.006324415276532269
msk.ru,0.030000000000000027,0.030000000000000027,0.0
megagroup.ru,0.48149158808612336,0.48019842226358866,-0.001293165822534692
dji.com,0.007002791513224915,0.007002791513224915,0.0
simplisafe.com,0.0018054226475279211,0.0037477690438216804,0.0019423463962937593
wyndhamhotels.com,0.01605943095304796,0.04717430797984601,0.03111487702679805
altavista.com,0.7672395678475811,0.7740676782217722,0.006828110374191176
publicstuff.com,0.0,0.0,0.0
bartleby.com,0.008941918418724937,0.00892131696898335,-2.0601449741586286e-05
radissonhotels.com,0.017697088368071934,0.03089846776348948,0.013201379395417545
sync.com,0.0,0.0,0.0
rosario.gob.ar,0.03175840740163205,0.03175840740163205,0.0
theporndude.com,0.0,0.0,0.0
attention.plus,0.021547267141946325,0.06290039844804218,0.04135313130609586
nova.cz,0.0,0.0,0.0
whiterabbitpress.com,0.0,0.0,0.0
js.org,0.16985645933014348,0.1741626794258373,0.0043062200956938135
kommersant.ru,0.0202692511341257,0.020785854316055286,0.0005166031819295869
rp5.ru,0.015931305877557533,0.018046082661019258,0.002114776783461725
bayern.de,0.0,0.0,0.0
usaid.gov,0.0,0.0006497028590052301,0.0006497028590052301
sendsay.ru,0.028704082880553483,0.029900086333909837,0.0011960034533563535
attentivemobile.com,0.000832104108390852,0.0007181478804060282,-0.00011395622798482385
championat.com,0.007746997917096099,0.00857234462142975,0.0008253467043336515
thepioneerwoman.com,0.0,0.0,0.0
pagina12.com.ar,0.0,0.0,0.0
mendixcloud.com,0.0,0.0,0.0
rp.pl,0.020151519016401886,0.020088388911209343,-6.31301051925437e-05
connectedpdf.com,0.0,0.0,0.0
giga.de,0.029963544543517684,0.03193618305557078,0.001972638512053093
swisscom.com,0.006836993709303574,0.006903211566052336,6.621785674876257e-05
igvita.com,0.0,0.0,0.0
cio.com,0.009026232437944315,0.004749242227499728,-0.004276990210444587
pitchfork.com,0.04988630095076907,0.09786013220748258,0.047973831256713506
newrepublic.com,0.0,0.0,0.0
telefonica.com,0.0,0.0,0.0
