domain,control_diff,experimental_diff,diff_in_diff
haxx.se,0.0,0.0,0.0
timesofisrael.com,0.19049547739801787,0.2261696648364956,0.03567418743847772
cancer.gov,0.03078652333231513,0.03209309053597276,0.001306567203657627
wufoo.com,0.0,0.0,0.0
wikidot.com,0.021108296412329697,0.04597512360965539,0.02486682719732569
rainbird.com,0.000941033525612478,0.021897200260017735,0.020956166734405257
inmotionhosting.com,0.012381956539689543,0.012381956539689543,0.0
afrinic.net,0.0,0.0,0.0
db.com,0.02401462547300537,0.019577616904302042,-0.004437008568703327
technorail.com,0.0,0.0,0.0
ilo.org,0.0,0.0,0.0
arkoselabs.com,0.0,0.0,0.0
nurd.com,0.0,0.0,0.0
trafficfactory.biz,0.060285878433747775,0.0315380093157871,-0.028747869117960678
focus.de,0.015939177146542027,0.015622153021960017,-0.00031702412458201046
cctv.com,0.0068790265211858825,0.006901897585416816,2.287106423093377e-05
likeevideo.ru,0.021276595744680882,0.021276595744680882,0.0
duosecurity.com,0.06106020138692636,0.0616648500255641,0.0006046486386377392
arcticwolf.net,0.0,0.0,0.0
cpan.org,0.0,0.0,0.0
helpshift.com,0.0,0.0,0.0
schneier.com,0.0,0.0,0.0
usercentrics.eu,0.025939318479546336,0.010446343779677125,-0.01549297469986921
leagueoflegends.com,0.00680445151033382,0.006357786357786388,-0.0004466651525474319
iop.org,0.0,0.0,0.0
immobilienscout24.de,0.0,0.0,0.0
odoo.com,0.04584776916907096,0.060309392845825704,0.014461623676754742
tenda.com.cn,0.009856872805833139,0.009856872805833139,0.0
porsche.com,0.024837953476306796,0.024837953476306796,0.0
aol.co.uk,0.5202804454218481,0.5407529047702458,0.020472459348397698
threatlocker.com,0.0,0.0,0.0
progressive.com,0.0030736377485603983,0.00323748059366169,0.00016384284510129188
isc.org,0.0,0.0,0.0
tubemogul.com,0.0,0.0,0.0
atg.se,0.08943846149799262,0.1145790350088921,0.02514057351089949
google.com.sg,0.09250664166275979,0.0727973905649395,-0.01970925109782029
wb.ru,0.20862881863924154,0.20893622256899647,0.0003074039297549236
king.com,0.0,0.0,0.0
code42.com,0.009735608956054409,0.01519534624902985,0.005459737292975442
clickagy.com,0.0,0.0,0.0
paramountplus.com,0.024955436720142554,0.0,-0.024955436720142554
texas.gov,0.006340411695007098,0.01005518289187024,0.0037147711968631425
nyc.gov,0.035643564356435675,0.035643564356435675,0.0
ucsb.edu,0.0,0.0,0.0
woo.com,0.0,0.0,0.0
wargaming.net,0.06225791267744185,0.018235113566605232,-0.04402279911083662
standard.co.uk,0.029927507836990608,0.24071608565942015,0.21078857782242955
amagi.tv,0.16357167695140884,0.16357167695140884,0.0
toyota.com,0.0,0.0,0.0
clickup.com,0.0071817567152252515,0.012020029507830432,0.0048382727926051805
anker-in.com,0.0,0.0,0.0
siue.edu,0.014909643487008628,0.014073412002989838,-0.0008362314840187901
redbubble.com,0.02930402930402931,0.02930402930402931,0.0
zenlogic.net,0.0,0.0,0.0
finam.ru,0.09009535931269708,0.10145705746219413,0.011361698149497057
vrbo.com,0.23538838697696174,0.21304778868870156,-0.022340598288260183
lg.co.kr,0.0,0.0,0.0
curl.se,0.0,0.0,0.0
thefreedictionary.com,0.0905797627445899,0.03359907262269901,-0.05698069012189089
wustl.edu,0.028082988151905908,0.028082988151905908,0.0
zend.com,0.010555747762664547,0.0074391009202467995,-0.0031166468424177474
kahoot.it,0.0,0.0,0.0
flic.kr,0.0,0.0,0.0
novell.com,0.00017656925929199208,0.00017656925929199208,0.0
tubitv.com,0.0804616370376734,0.04035191226279278,-0.04010972477488062
cvs.com,0.0,0.0,0.0
softonic.com,0.0,0.046224961479198745,0.046224961479198745
crunchbase.com,0.023881239242685037,0.03215227775005347,0.008271038507368433
salon.com,0.007512107738798068,0.005620532813515267,-0.0018915749252828018
brightspace.com,0.0,0.0,0.0
houzz.com,0.0,0.00039215686274507444,0.00039215686274507444
