domain,control_diff,experimental_diff,diff_in_diff
xhamster2.com,0.00121212121212122,0.0,-0.00121212121212122
yts.mx,0.03304069290453859,0.030601248716637164,-0.0024394441879014295
infonline.de,0.0,0.0,0.0
gelbooru.com,0.04391205754372418,0.0568507881111352,0.012938730567411016
xhamster3.com,0.16255777036896835,0.22616182883161395,0.06360405846264561
e-hentai.org,0.03750759240505808,0.09727555030510537,0.0597679579000473
nairaland.com,0.023560116528511532,0.022272255690314435,-0.0012878608381970968
pewresearch.org,0.00011795234725175963,0.00043141714297112443,0.0003134647957193648
aniwave.to,0.0,0.0,0.0
nesine.com,0.014895457376010501,0.007861044456590194,-0.0070344129194203076
aznude.com,0.016358697817452583,0.01335219912872676,-0.0030064986887258227
oreilly.com,0.019633381583626486,0.018302304866092522,-0.0013310767175339633
iporntv.net,0.0025574629635449764,0.004564467414407081,0.0020070044508621043
aniwatch.to,0.0,0.022222222222222254,0.022222222222222254
jable.tv,0.003925169159544106,0.01781147627072399,0.013886307111179885
4kporn.xxx,0.021072909484162294,0.061592845987416656,0.04051993650325436
egnyte.com,0.0,0.0,0.0
litnet.com,0.16402909683889366,0.13255121411431392,-0.03147788272457974
donmai.us,0.012522825107987301,0.022915755045492925,0.010392929937505624
xvideos2.com,0.04790521528375069,0.04662075162987578,-0.0012844636538749121
su89-cdn.net,0.09837623530249084,0.018181818181818188,-0.08019441712067266
xnxx.tv,0.024732469571217885,0.03700451148925643,0.012272041918038545
ilmeteo.it,0.0,0.00046763935652827104,0.00046763935652827104
ixxx.com,0.14269856602761333,0.24006164919191353,0.0973630831643002
hqporner.com,0.49382491442146814,0.4849755274481221,-0.00884938697334603
ok.xxx,0.055535926957298476,0.007163111890963303,-0.04837281506633517
xnxx.health,0.035758974020718814,0.05564932461150862,0.019890350590789807
jd.com,0.10078086519483442,0.0997378977751977,-0.00104296741963672
love4porn.com,0.058240070886391604,0.04968163194929098,-0.008558438937100621
russianfood.com,0.3189398235571328,0.33339636344430323,0.014456539887170439
mathtag.com,0.0,0.0,0.0
wordwall.net,0.0,0.0,0.0
cardgames.io,0.01658382960348803,0.021842379689624325,0.005258550086136293
cnnindonesia.com,0.13429116856779222,0.14478562642264392,0.010494457854851702
pornhat.com,0.0827331279352227,0.09540570702555518,0.01267257909033248
gst.gov.in,0.0,0.0,0.0
sexvid.xxx,0.0013605442176870541,0.001544401544401497,0.00018385732671444277
tenki.jp,0.07065425205804776,0.0867865907041172,0.016132338646069444
samokat.ru,0.002116144959131483,0.0015783493039107643,-0.0005377956552207186
