domain,control_diff,experimental_diff,diff_in_diff
gov.uz,0.07396761117352413,0.08169480664002537,0.0077271954665012466
xrea.com,0.007082004970881517,0.007032938447320336,-4.906652356118091e-05
hextom.com,0.0,0.0,0.0
kubernetes.io,0.013922681805893511,0.0,-0.013922681805893511
webmotors.com.br,0.019607843137254943,0.019607843137254943,0.0
adam4adam.com,0.0,0.0,0.0
mangabat.com,0.0,0.0004046953131621178,0.0004046953131621178
uwo.ca,0.0,0.0007716049382715529,0.0007716049382715529
pornhoarder.tv,0.4358125669255012,0.46238612680280977,0.026573559877308583
mdr.de,0.0009157509157509125,0.007642276098651979,0.006726525182901066
sg.fr,0.019751370010309244,0.02177574305240071,0.002024373042091465
d0o0d.com,0.0,0.0,0.0
smartnews.com,0.0174825174825175,0.0174825174825175,0.0
vecernji.hr,0.10342330126827703,0.10452337584960458,0.001100074581327548
level3.net,0.0,0.0,0.0
merdeka.com,0.023819332202972388,0.04063871335435443,0.01681938115138204
sudoku.com,0.0,0.0,0.0
jizzbunker.com,0.30555808761047587,0.37499356352822366,0.06943547591774779
carrefour.com.br,0.33944444444444444,0.3344425956738769,-0.00500184877056753
carview.co.jp,0.03810770190835999,0.018955352447661444,-0.019152349460698548
t1cloud.com,0.0,0.0,0.0
tarafdari.com,0.1167820548324563,0.1167820548324563,0.0
redwap-xxx.com,0.0016134183544234126,0.0016134183544234126,0.0
fpo.xxx,0.2808129615356467,0.2066353859919864,-0.07417757554366033
geforce.com,0.0,0.0,0.0
elfsight.com,0.05742334588488429,0.05742334588488429,0.0
3hentai.net,0.1591410454055726,0.14438977202074388,-0.014751273384828734
njav.tv,0.053436587237432276,0.055279225895991324,0.0018426386585590482
xnxxcom.xyz,0.0028354037051679937,0.0028354037051679937,0.0
zalando.fr,0.00248447204968949,0.0,-0.00248447204968949
cat.net.th,0.0,0.0,0.0
vivaldi.com,0.0,0.0,0.0
jdsports.co.uk,0.01881427838106542,0.02899785050566961,0.01018357212460419
ricardo.ch,0.026422279604367604,0.042153047989623826,0.015730768385256222
coral.co.uk,0.0,0.0,0.0
usvisa-info.com,0.018620689655172384,0.018620689655172384,0.0
sendtonews.com,0.0,0.0,0.0
pornhubs.video,0.0,0.0,0.0
vodafone.pt,0.04209695717681361,0.04018069860627471,-0.001916258570538898
tube4world.com,0.0,0.0,0.0
skole.hr,0.0,0.0,0.0
filelist.io,0.0,0.0,0.0
sport24.ru,0.19643757793598904,0.3623337970738102,0.16589621913782115
gayboystube.com,0.13509889286401733,0.13791857396185336,0.0028196810978360354
lrytas.lt,0.48025015633745627,0.47892934295975675,-0.0013208133776995146
imgflip.com,0.11395079587513779,0.09950384969345027,-0.014446946181687514
glavcom.ua,0.10046491894931187,0.10113819364041965,0.0006732746911077836
rokna.net,0.06309906914801999,0.06145139584187398,-0.0016476733061460136
visualcapitalist.com,0.16975308641975306,0.12036033051213313,-0.049392755907619934
anitaku.to,0.0022772379053012104,0.0033940008018931156,0.0011167628965919052
xxxdan.com,0.40138797972600937,0.36352527764163833,-0.037862702084371036
vbet.am,0.01840685245200191,0.02812265088872179,0.00971579843671988
noticiasaominuto.com,0.2466242801536307,0.18617333800950808,-0.06045094214412261
mobile01.com,0.00032876156965921943,0.00032876156965921943,0.0
xhchannel.com,0.034839443023586214,0.033986928104575154,-0.0008525149190110604
packet8.net,0.02631836430986423,0.025271558373756386,-0.001046805936107842
record.pt,0.021149024059667898,0.060185874728932,0.0390368506692641
laposte.net,0.0012501668372113528,0.0013001735106997758,5.0006673488423026e-05
domclick.ru,0.0,0.0,0.0
tivo.com,0.014814814814814836,0.014814814814814836,0.0
youradchoices.ca,0.0,0.0,0.0
gracenote.com,0.1252098917550083,0.0891705702324086,-0.0360393215225997
idaho.gov,0.03662129306791506,0.026332466006379063,-0.010288827061535999
banco.bradesco,0.007619047619047636,0.008253968253968291,0.0006349206349206549
xxxvideo.best,0.002270336089035485,0.00283101912814121,0.0005606830391057249
komiku.id,0.0008547008547008517,0.0008547008547008517,0.0
attwifi.com,0.25607011534606605,0.3419798993410873,0.08590978399502125
ruijienetworks.com,0.04794577408245004,0.009175338119437493,-0.03877043596301255
pracuj.pl,0.1155825250923691,0.13059815004270803,0.015015624950338924
queensu.ca,0.0002974419988102106,0.0001487209994051053,-0.0001487209994051053
cuni.cz,0.0,0.0,0.0
delgarm.com,0.02462551207440622,0.02465478812321298,2.9276048806758936e-05
piwik.pro,0.03756989455958881,0.038336193911803096,0.0007662993522142836
bark.us,0.0026201312941751542,0.00029048656499641723,-0.002329644729178737
klix.ba,0.25969075489328663,0.29499989257167214,0.035309137678385505
autoscout24.it,0.0056908370498394145,0.0017614232299698607,-0.003929413819869554
tabnine.com,0.0,0.0,0.0
citigroup.com,0.0,0.0,0.0
rp-online.de,0.07633054277526174,0.07718160660504902,0.0008510638297872797
adobeconnect.com,0.0483067318588668,0.03426459332547882,-0.014042138533387982
geocaching.com,0.0014098536548693419,0.001766348443247967,0.00035649478837862514
kino-teatr.ru,0.08547212110317215,0.12898845618998167,0.04351633508680952
rmf24.pl,0.06053454444543549,0.061710225076561764,0.0011756806311262746
jcu.edu.au,0.023423005565862742,0.023423005565862742,0.0
dxkulture.com,0.0,0.0,0.0
mihoyo.com,0.020000000000000018,0.020408163265306145,0.00040816326530612734
creditmutuel.fr,0.0,0.0,0.0
javbus.com,0.0,0.0,0.0
abola.pt,0.02977667493796532,0.07695235793480559,0.047175682996840274
wpenginepowered.com,0.0,0.0,0.0
notepad-plus-plus.org,0.15200075145848835,0.15135774734326202,-0.000643004115226331
ouo.press,0.11111111111111116,0.11111111111111116,0.0
javtiful.com,0.15434083601286175,0.16077170418006426,0.006430868167202508
ciceksepeti.com,0.06000000000000005,0.019230769230769273,-0.04076923076923078
northghost.com,0.0,0.0,0.0
indianrail.gov.in,0.013605442176870763,0.004709576138147598,-0.008895866038723166
travelocity.com,0.06600816764034012,0.22407876848604824,0.15807060084570812
komikcast.lol,0.003794642857142816,0.0026041666666666297,-0.0011904761904761862
lazada.sg,0.3023236677115987,0.2241105015673981,-0.0782131661442006
stamped.io,0.0,0.0,0.0
greenend.org.uk,0.019230769230769273,0.019230769230769273,0.0
fotor.com,0.0,0.0,0.0
stirileprotv.ro,0.0014878184861446542,0.0014878184861446542,0.0
ky.gov,0.03949652777777779,0.13313802083333337,0.09364149305555558
chanel.com,0.049309637586163135,0.027935256057850855,-0.02137438152831228
magicbricks.com,0.0007180812868016195,0.0007180812868016195,0.0
frame.io,0.04727111358491276,0.04580130261612769,-0.001469810968785068
testbook.com,0.0,0.022148394241417457,0.022148394241417457
arzdigital.com,0.024400831556714575,0.025340743768752727,0.000939912212038152
taxtelecom.ru,0.0,0.0,0.0
bling.com.br,0.019536226224058262,0.019536226224058262,0.0
sanspo.com,0.039141805714805744,0.039149558940863916,7.753226058171414e-06
beforward.jp,0.01621582294942936,0.00861712028585604,-0.00759870266357332
blogspot.com.au,0.0,0.0,0.0
91porny.com,0.25246127884844405,0.2578593920800054,0.005398113231561363
xxx18.uno,0.23843488368155263,0.24306603407645533,0.004631150394902694
zoombangla.com,0.0,0.0005518763796910076,0.0005518763796910076
upmusics.com,0.04687039018444483,0.052108946122748634,0.005238555938303802
