domain,screenshot_difference,samples
dallasnews.com,0.17503681832966922,17
uscis.gov,0.056282510189266666,51
chinanetcenter.com,0.003404413348792379,55
otomoto.pl,0.009448357760435733,43
wikibooks.org,0.0,54
zillowstatic.com,0.0,54
matillion.com,0.0018982759336163557,32
opentrackr.org,0.018571428571428572,50
trulia.com,0.02019491196218559,49
ngs.ru,0.33579378565236095,13
crazygames.com,0.08639578616402876,40
google.com.ec,0.016987490967082852,49
the-sun.com,0.026009582477754978,3
samsara.com,0.10158730158730156,9
google.com.do,0.008003108003107995,52
docusign.net,0.0,54
gigya.com,0.08994708994709,18
hindawi.com,0.0323809523809524,5
ndr.de,0.01013761118800205,42
pchome.com.tw,0.0037846218805271947,30
coca-cola.com,0.0,54
udel.edu,0.0040002021750807915,47
afp.ai,0.0,53
pbskids.org,0.0677833014860656,50
batch.com,0.032313939099647304,49
uga.edu,0.01746031746031751,50
atlasobscura.com,0.02055321020228673,12
uidapi.com,0.0007635249740512995,55
pa.gov,0.0,54
tesco.com,0.0071557138909427165,54
awin1.com,0.0012514885494351313,32
just-eat.com,0.02156876454612844,47
howtogeek.com,0.034477721636295255,51
shopee.com.my,0.3934516628310539,7
service-public.fr,0.0038359788359788594,48
narvar.com,0.008094169205280277,54
meb.gov.tr,0.04974284835604181,46
mindbodyonline.com,0.04047619047619044,40
uberinternal.com,0.0,54
siteground.us,0.0,54
kxcdn.com,0.0004556098683895504,55
paytm.com,0.0,12
rttv.ru,0.0,55
property24.com,0.020885608943974288,49
defense.gov,0.0,48
unfccc.int,0.0,6
surbl.org,0.0,54
cdnwidget.com,0.0,54
google.ee,0.004090354090354076,52
ucsf.edu,0.013026650989613975,54
ahcdn.com,0.04367544577860516,54
ucoz.net,0.0,54
popularmechanics.com,0.35190941098297346,8
jivosite.com,0.029548088983070042,53
vseinstrumenti.ru,0.019252307789812906,49
computrabajo.com,0.016710024501970788,50
google.ba,0.0,50
kikakuya.ne.jp,0.0,54
raspberrypi.org,0.0,53
brinkpos.net,0.0,49
surfnet.nl,0.004691689008042843,4
sway.com,0.6666666666666667,6
aif.ru,0.051910299003322224,4
unhcr.org,0.06218251942371289,40
familysearch.org,0.12796926110709106,11
usabilla.com,0.027998456494505053,39
i-ready.com,0.019841269841269882,48
iastate.edu,0.0,50
hostinger.com,0.0034151875741722515,9
worldometers.info,0.04253763681312628,28
senderscore.com,0.0,51
charter.com,0.033467892495450235,50
visualwebsiteoptimizer.com,0.2775132275132275,6
grammarly.net,0.01716216301361806,50
immobiliare.it,0.0,10
worldcat.org,0.01798086571793467,48
lunalabs.io,0.002263543683055813,12
cloudhub.io,0.0,54
dotmetrics.net,0.0,54
goojara.to,0.004008714596949847,51
magento.com,0.0,50
google.com.gt,0.02374208502491737,54
justia.com,0.01087020618678114,55
macomnet.ru,0.02001868766768755,54
google.com.uy,0.005367617132323033,51
flipsnack.com,0.0012030986593810633,54
bbcgoodfood.com,0.0,3
aylanetworks.com,0.039268461007591404,46
selectel.ru,0.0,6
51.la,0.004371632059631092,55
bcg.com,0.0,55
ag.gov.au,8.669460916654881e-05,37
govdelivery.com,0.006514847650113342,54
reolink.com,0.020876763827197498,25
aviasales.com,0.020917449332674254,25
spectrum.net,0.02662595946046653,48
ti.com,0.3377747604418111,14
google.lk,0.016540561877721127,48
easyjet.com,0.04880831643002026,32
statsig.com,0.0011357183418512218,54
dmm.com,0.03793218275628252,54
washingtontimes.com,0.0,6
moovitapp.com,0.010095191077279297,30
anac.gov.ar,0.016725455614344464,54
google.com.pr,0.012918133240239271,52
tailscale.com,0.013591098130864676,41
gwu.edu,0.031761362747652955,38
ziprecruiter.com,0.0026996336996336634,50
cookieyes.com,0.007145299082202183,55
postman.com,0.07348778432142389,15
google.ge,0.03395503548514722,51
banki.ru,0.08250000000000002,1
gs.com,0.011111111111111072,6
iea.org,0.0,54
sprinthost.ru,0.0016872615255364432,53
techsmith.com,0.015970197602850678,49
google.com.np,0.010188465755862519,54
docusign.com,0.010817636468921088,26
federalregister.gov,0.0,54
mediawiki.org,0.0,50
homestead.com,0.00998561898392114,31
mulesoft.com,0.04179026988216794,28
google.co.uz,0.005468076060794358,42
easports.com,0.02910595146950834,50
snapcraft.io,0.0,51
cldin.eu,0.0,52
thekitchn.com,0.0,18
mktoresp.com,0.0,54
japanpost.jp,0.006778003097701046,46
hbs.edu,0.0,51
skysrt.com,0.0,54
google.jo,0.03962974012338072,51
blogspot.de,0.054773701230236616,51
google.co.ma,0.07880952380952377,20
ensighten.com,0.0001098478607128861,51
google.az,0.02899173012488976,48
kikakuya.com,0.0,54
mercedes-benz.com,0.013226853001362726,36
uwaterloo.ca,0.0,27
google.com.sv,0.0018415736310473108,50
google.com.ng,0.029031437221191614,50
google.dz,0.019324965167174968,54
ko-fi.com,0.002860890402072158,52
litres.ru,0.10850309924573265,18
google.com.py,0.009392168297919112,48
marketo.com,0.0,50
matomo.org,0.0,54
google.iq,0.0015810069081096945,46
wired.co.uk,0.0,6
polygon.com,0.26923076923076916,2
bt.net,0.0,54
www.gob.mx,0.001113043478260911,30
reverbnation.com,0.0,51
sng.link,0.03490123826075631,44
geico.com,0.002645502645502673,54
boostmobile.com,0.010367506443193841,55
cms.gov,0.0,50
ebay.com.au,0.05414421691036819,25
churchofjesuschrist.org,0.05347840646591062,48
cwi.nl,0.0,54
mobileiron.com,0.0,10
google.com.bo,0.026237021335060562,54
microsoftstream.com,0.00042128991842527164,54
ualberta.ca,0.006629199930049956,27
hoyolab.com,0.051604573886132266,10
customer.io,0.015825105421150454,36
collinsdictionary.com,0.02992664987430904,28
qualcomm.com,0.3382823629097961,51
peatix.com,0.06774037881529738,51
priceline.com,0.13440724323206554,29
adcolony.com,0.03769446478124028,54
mobilevikings.be,0.0024472302475376795,55
lnk.to,0.0033760810961778187,50
mainichi.jp,0.01139601139601143,1
sex-studentki.plus,0.003993932601071504,35
spotim.market,0.0,50
smallpdf.com,0.0,53
squid-cache.org,0.0,54
zerocdn.com,0.001640211640211664,30
w.org,0.016921603395497087,52
retargetly.com,0.0,50
apnic.net,0.004515461355397488,54
eurodns.com,0.007616472414391229,54
cpanel.com,0.0020000000000000018,50
google.co.ke,0.009962935912371629,53
quillbot.com,0.0073015873015872534,55
google.am,0.009348762276543687,53
blogspot.ca,0.0244031532445822,47
pinterest.fr,0.09805978112322244,38
getyourguide.com,0.07976190476190481,9
prosv.ru,0.03160658284028606,33
medtronic.com,0.03898262413163334,12
envato.com,0.0008230452674896638,54
colostate.edu,0.01364705253594145,54
stockx.com,0.0009053124389759581,54
sundaysky.com,0.016851575336725988,36
dns.jp,0.0,51
google.lu,0.033098889029696266,52
abb.com,0.0,28
index.hu,0.005291005291005346,6
samsungads.com,0.20613026819923375,4
websupport.sk,0.0,18
federalreserve.gov,0.0,48
gitbook.io,0.030307305478941005,39
derstandard.at,0.0,50
google.mn,0.021042839637351096,42
nocookie.net,0.0,53
alarabiya.net,0.028339832124643194,30
wikifx.com,0.021291901860465368,18
pinterest.es,0.06311833053422178,35
wurl.com,0.0,54
cargurus.com,0.005456349206349187,18
control4.com,0.0,50
alarbda.com,0.0,50
theknot.com,0.0,7
google.is,0.007110158503347397,52
openoffice.org,0.016452991452991506,52
next.co.uk,0.08864288521039088,46
aftonbladet.se,0.0004761904761905189,50
monday.com,0.0,14
globalpay.com,0.016935499671661636,31
dyn.com,0.015429999218215862,51
merchantlink.com,0.0,51
web.app,0.01544195953141636,6
lululemon.com,0.012575740782630462,14
truyenqqvn.com,0.03860800552212185,52
getadblock.com,0.007815493983857613,53
boutell.com,0.0,54
google.ci,0.024090033593218707,51
sb-cd.com,0.00042177438583546056,53
anu.edu.au,0.03279424977538181,53
iq.com,0.0,12
rtl.de,0.0,5
mo.gov,0.001322751322751281,54
chosun.com,0.033862433862433816,3
r01.ru,0.0,41
google.com.kh,0.007127295362589492,51
kinghost.com.br,0.0,21
google.com.lb,0.008274231678486954,47
penguinrandomhouse.com,0.00952380952380949,47
cableone.net,0.00017692852087758393,54
google.as,0.003429906863250509,53
newtoki.vip,0.012536776436426922,54
fujitsu.com,0.05937606553201624,18
google.md,0.017658158496448584,52
boutell.co.uk,0.0,54
tinypic.com,0.0,54
handelsblatt.com,0.0,1
viglink.com,0.007718643012760706,51
google.cat,0.010174880763116012,55
purl.org,0.00012210012210012167,52
google.cm,0.005546665070354506,52
walletconnect.com,0.00045876024136892735,54
realme.com,0.18587781276494186,12
siemens.de,0.15384615384615385,13
dxc.com,0.012115977620301255,51
cafe24.com,0.08451555327858928,47
thunderbird.net,0.0,52
svt.se,0.004464291531404374,51
porkbun.com,0.005001320088198757,51
xvideos53.com,0.0077608366096211245,51
google.co.mz,0.011349418125733868,50
truoptik.com,0.059784230359900215,40
diziwatch.net,0.00017692852087758393,54
ge.com,0.0,1
trafficjunky.com,0.0,51
aaa.com,0.0,50
google.ad,0.012636868217939745,46
adfox.ru,0.0028388278388278287,52
oxtubez1.name,0.0024071908669280884,54
google.tn,0.014441514680307632,52
google.com.cu,0.021281599059376877,54
google.bs,0.02340670773216036,48
boeing.com,0.0,50
kaiserpermanente.org,0.01828571428571424,50
google.com.pa,0.0223129268587815,52
sjtu.edu.cn,0.011904761904761862,52
