domain,screenshot_difference,samples
pin-up.ua,0.0,1
falabella.com.pe,0.16446862898164727,7
jumpcloud.com,0.016774891774891776,11
virginmedia.com,0.0066092845063749905,39
n1info.rs,0.0,2
theculturetrip.com,0.0,3
ndtv.in,0.17554347826086958,4
xhofficial.com,0.0,54
nature.org,0.0,38
somon.tj,0.003154080257179559,31
shipstation.com,0.012247365166223156,50
ndmais.com.br,0.0,9
mangafreak.net,0.007925799930641797,53
energystar.gov,0.003847260031216382,55
gomovies.sx,0.0,47
gree.net,0.0,50
privateinternetaccess.com,0.022060517470916308,54
loteriasyapuestas.es,0.010720716125614316,51
trackonomics.net,0.04879017012761122,52
melonbooks.co.jp,0.018339156806339574,28
gazeteduvar.com.tr,0.33739837398373984,1
iperceptions.com,0.0,54
splunk.com,0.023544973544973535,6
rs-online.com,0.0001609839338033714,51
tubegalore.com,0.002467326750752008,12
mohito.com,0.013625335681308304,36
rst.ua,0.0,54
perfectgirls.xxx,0.0,8
jc-gs.com,0.0001867064973860577,52
grail.bz,0.025791038737440486,17
procore.com,0.005714285714285672,5
sakshi.com,0.09270464323114402,8
ncore.pro,0.0,54
loveread.ec,0.0,37
macaro-ni.jp,0.06113114473879533,37
dnszi.com,0.0,54
tv100.com,0.11966294026088109,31
jmcomic.me,0.013980001663341679,54
brid.tv,0.019074047992592602,42
smbcnikko.co.jp,0.01474156794940229,54
loreal.com,0.032644504342617564,53
captioncall.com,0.09202205647988781,24
animepahe.ru,0.03839026805268031,54
lacuerda.net,0.0,4
silverdaddies.com,0.01441830477777084,55
hihi2.com,0.05585716284952125,36
borwap.pro,0.05814288902594311,48
icbc.com.cn,0.02257448003050988,27
roozaneh.net,0.01486861359383529,55
kinogo.biz,0.0172505307855626,24
oocl.com,0.044973544973545,42
admedo.com,0.0,54
mangapark.net,0.0009587133367059408,34
xcafe.com,0.001367989056087593,17
redd.tube,0.06589086853843751,48
postype.com,0.048540888955327266,14
milffox.com,0.0,20
townwork.net,0.0,54
lecturas.com,0.0,6
bazos.cz,0.0013177598083258246,53
flashscorekz.com,0.0037397157816005944,7
squirt.org,0.04397233705915382,50
janeapp.com,0.0006177520154873051,54
prosport.ro,0.1718266253869969,2
doubtnut.com,0.0009952320242799795,8
doctoralia.com.br,0.0,28
doz.pl,0.05264266833687403,9
but.fr,0.09506118269840802,33
focus.ua,0.08843354909531376,16
lidl.pl,0.022549019607843168,34
magazinevoce.com.br,0.0,53
bangkokpost.com,0.02935925704481923,9
ooppgame.com,0.05431991712398032,54
kiabi.com,0.002537837708575963,36
mangakakalot.tv,0.0,54
papy.co.jp,0.0,54
doe.gov,0.043578643578643605,44
ushmm.org,0.15741276039465601,45
betplay.com.co,0.13923612982811107,41
videotron.ca,0.02838399723953111,32
lidl.fr,0.0,37
vcu.edu,0.020048403976975382,49
ncl.ac.uk,0.0,12
cyberfolks.pl,0.05106117353308359,50
shooshtime.com,0.0022401433691756623,4
boy18tube.com,0.03703703703703709,14
newsbeast.gr,0.20664582741745563,42
chumbacasino.com,0.00028860028860033804,55
boundhub.com,0.08658280877560542,52
filmix.biz,0.0010385960735802557,55
hentaicity.com,0.006467204841948959,49
zamunda.net,3.2894736842092875e-05,50
medonet.pl,0.07904761904761903,20
emailsrvr.com,0.0,54
pornjk.com,0.0,54
pozdravok.com,5.878894767785692e-05,54
mangareader.to,0.0,50
cascorp.biz,0.026318234610917535,50
steamunlocked.net,0.04010914203468763,41
elbalad.news,0.04092216981955077,20
privateproperty.co.za,0.0012075211316198153,51
wetest.net,0.08176741543416,45
kisskh.co,0.04273668945593956,50
socialmediagirls.com,0.09753086419753088,18
airbnb.co.uk,0.24206415179970098,6
clara.es,0.005250677506775103,16
sex-studentki.guru,0.03628691077544988,27
java.net,0.00048675102085837807,54
fastdl.app,0.07092409265547617,38
vodafone.de,0.0,54
bg3.wiki,0.00521232062289434,54
newsit.gr,0.022710383865713668,51
insta-stories-viewer.com,0.030964116215297488,49
kitapyurdu.com,0.009813263963386776,52
timebucks.com,0.019727891156462563,42
mgm.gov.tr,0.000481481800428063,53
peta.org,0.0,42
naurok.com.ua,0.0009637983040430287,54
freshporno.net,0.0,35
tvonenews.com,0.0,3
readmangabat.com,5.9164595905825124e-05,54
uukanshu.net,0.0,54
ebalka.nl,0.020913358941527904,11
hlebo.mobi,0.00364046210200053,13
brainly.ph,0.0027276599432262127,50
tv9hindi.com,0.5291775982544095,2
printix.net,0.0,54
eldestapeweb.com,0.06354726705921088,15
gree.jp,0.0,42
blaze-4.com,0.0,54
lobstertube.com,0.0,6
partslink24.com,0.0515157191223673,50
bluestone.com,0.02662176467472699,48
mtlnovel.com,0.0044911509521536885,51
gandul.ro,0.37117117117117115,1
emgsound.ru,0.0,54
modyolo.com,0.008520311483556142,36
bharian.com.my,0.324449067827962,11
finecobank.com,0.0,54
univision.com,0.07420091324200917,12
zippia.com,0.09153449453235318,11
bitcoin.com,0.0,43
heritage.org,0.10935796517547558,12
elementexpress.net,0.0,10
xhwebsite5.com,0.0,54
primor.eu,0.04697931375574793,13
newsbomb.gr,0.03322614330462759,42
19216811.uno,0.04503395159567358,54
iam.gov.sa,0.0,54
bobaedream.co.kr,0.023863770203154666,54
goodsync.com,0.0,54
ultradns.org,0.02295109633227177,54
selcdn.ru,0.0,12
lightnovelpub.com,0.0003837213720999655,54
defence.gov.au,0.0,18
mileroticos.com,0.00023713245891099355,54
whatfix.com,0.05762838044286289,11
lpl.com,0.0,48
nuro.jp,0.031149493458493827,14
kp.org,0.04068675089083251,49
pw.live,0.0005011211943984906,35
netfirms.com,0.0008984725965858198,53
thethao247.vn,0.32583720754523526,7
abadis.ir,0.0008857481661446176,55
morgenpost.de,0.0,18
no-ip.org,0.0,35
payscale.com,0.007729949486386722,50
dreame.tech,0.21864426104157408,33
trahkino.cc,0.02522499638544029,50
videosdemadurasx.com,0.013879214434202924,50
scholarships.gov.in,0.008661811864821067,18
favbet.ua,0.0,54
manhuaus.com,0.16303374343376664,9
ekitan.com,0.0002828054298642524,48
porndr.com,0.07857142857142863,26
thepiratebay.org,0.0010871928680147303,54
sports.kz,0.06129567527594848,46
rai.it,0.0,3
dziennikzachodni.pl,0.0,12
volcanoh5game.com,0.06105992501489299,54
vost.pw,0.0,54
amateri.com,0.054623455922502395,16
designboom.com,0.060962784899936895,52
nxp.com,0.031240592978248216,49
cloudfilter.net,0.0,54
jmbilegame.com,0.10810250716394298,54
rummycircle.com,0.0024985302763080863,54
augipt.com,0.0,51
clashofclans.com,0.0009746588693957392,54
getnews.jp,0.1917413932515225,19
ssstwitter.com,0.0575332627360261,28
ladies.de,0.0,30
mintmanga.one,0.004301086937888887,54
tyler-brown.com,0.14580668573612776,54
readawrite.com,0.03917378917378922,6
delhivery.com,0.0008384109429429021,54
machotube.tv,0.022056875470547244,6
goraggio.com,0.0,54
javdock.com,0.0,1
wonporn.com,0.05167644463074805,46
trashbox.ru,0.0013740269645781122,51
buap.mx,0.030169104678908654,54
redkassa.ru,0.06690780491807369,24
in.net,0.0,54
nhentai.to,0.0,54
hiworks.com,0.00011001100110008544,54
mts.by,0.01919312536243656,20
doramatv.live,0.0005332417040803117,54
uakino.club,0.0,10
efortuna.pl,0.019411983731454474,4
manhuagui.com,0.013484454107155486,50
3xxx.pro,0.12930105125227076,13
sapsf.com,0.07806122448979591,42
streameast.app,0.0042815476023730925,40
hentairead.com,0.0,2
overstock.com,0.0020606183545480716,27
igdownloader.app,0.031075792539080216,37
nanocosmos.de,0.04147946936474134,54
brazino777.com,2.9724748825898928e-05,54
pciconcursos.com.br,0.01886380166000734,52
belnovosti.by,0.021514986793650603,53
exactag.com,0.0,6
sexvideos.rodeo,0.016029962546816434,15
cat.com,0.0,50
ilbe.com,0.06211440289468073,46
optum.com,0.04556441181815474,51
aniworld.to,0.04888966882961343,20
xanimu.com,0.041810199257007796,47
pisofiph.com,0.006109122527382049,51
sima-land.ru,0.13071357451540755,12
kunmanga.com,0.017662932199414283,52
sexxxx.rodeo,0.04508168372659682,32
angelone.in,0.11723659324278524,51
mercantilbanco.com,0.03914521469308507,16
deporvillage.com,0.0047370359220254565,40
showup.tv,0.0021652128877951426,52
nykaafashion.com,0.00938432678483847,54
joyreactor.cc,0.048675749216191555,16
csic.es,0.03659580876328472,28
esteri.it,0.0,54
hentai20.io,0.0,13
arabysexy.mobi,0.005301503071385216,49
goph.club,0.0,54
etoland.co.kr,0.04615278388914401,5
befuck.net,0.110601780231676,25
soccer365.ru,0.016117271310293835,49
gazetawroclawska.pl,0.07478632478632474,26
betsson.com,0.01626743556852772,51
bahesab.ir,0.00012210012210012167,52
aade.gr,0.0015178702236596786,33
arabseed.show,0.05693191404766362,33
jkanime.net,0.0008287467145711158,54
xgx.mobi,0.0,19
inporn.com,0.03544649738638361,47
cinemagia.ro,0.35366584891413144,10
javdb.com,0.0004979769685652391,51
porn-hub.live,0.0,54
seg-social.pt,0.017286098455676746,51
atube.sex,0.18179779158040033,5
sport.ro,0.06533640849197497,13
getblue.io,0.0,54
happymail.co.jp,0.0,54
socialmediatoday.com,0.06954934111951883,39
emalls.ir,0.03207265961844985,31
javgg.net,0.011880218216029692,49
