domain,screenshot_difference,samples
tynt.com,0.0,54
jalanmenangku.com,0.0,6
medallia.com,0.01886446886446891,52
dotmovies.bet,0.010758377425044041,54
therealxh2.com,0.0,52
akamai.com,0.0,48
fastclick.net,5.878894767785692e-05,54
oraclecloud.com,0.0033751522934571954,53
arlo.com,0.014814814814814836,54
fsiblog.club,0.3720414673046252,19
bookep.autos,0.0002032520325203624,50
moviesda8.me,0.014609053497942392,54
hdhub4u.foo,0.11306345117581529,49
7dakxg.com,0.0043481795124802325,54
drweb.com,0.0,50
like.video,0.0,53
nikkei.com,0.0,6
kernel.org,3.377237419788237e-05,47
ny.gov,0.0005878894767783471,54
ringcentral.com,0.019542892088900476,45
filmyfly.zip,0.01053466258677982,55
sex-studentki.pics,0.0028769511589367136,40
google.com.ua,0.015219421101773989,51
stripchat.com,0.010958711782918407,54
smadex.com,0.0,55
mxptint.net,0.0,54
hcdn.gob.ar,0.0,50
newtoki317.com,0.0619191451129989,54
newtoki318.com,0.06635989955138544,51
anchor.fm,0.003752626019670413,54
nettruyenus.com,0.12824813485053033,24
telegra.ph,0.0,54
onenote.net,0.020668693009118555,47
hse.ru,0.00018674136321195078,51
dutils.com,0.0,54
parsely.com,0.0010582010582010914,54
comodoca.com,0.0,52
eu.org,0.0,50
adp.com,0.004539865124304154,49
vkuseraudio.net,0.0,54
bund.de,0.0,50
snapkit.com,0.015854310298754726,54
variety.com,0.11099176512710351,6
express.co.uk,0.0,6
indiegogo.com,0.021846282372598114,38
senate.gov,0.03474854053019427,54
alphonso.tv,0.0,54
army.mil,0.0,54
cedexis.com,0.0,54
wikia.com,0.026180626839408472,16
dynamics.com,0.03301249788204552,46
pwc.com,0.012640194517217207,54
tawk.to,0.00023952095808388307,50
iheart.com,0.023274634211436385,33
so.com,0.08238318580167503,42
rollingstone.com,0.12955835169112884,17
ampproject.net,0.027189888300999443,54
brightcove.com,0.022211075441412542,4
bizjournals.com,0.060172864286138106,51
appboy.com,0.00029394473838917357,54
richaudience.com,0.016723397782236527,54
vihub.ru,0.0,54
weborama.fr,0.04393486981340511,46
usc.edu,0.0,49
unicef.org,0.0012987012987012436,22
ford.com,7.558578987154618e-05,42
fullstory.com,0.01116126609496515,55
moengage.com,0.011379523656591228,46
cutt.ly,0.007505977791868568,52
revcontent.com,0.0,52
ssa.gov,0.0,54
brightcloud.com,0.0,54
purdue.edu,0.0,51
polyfill.io,0.0,54
heytapmobi.com,0.0050925925925926485,24
adotmob.com,0.0,48
fool.com,0.011160253575114298,51
kochava.com,0.014811219901866624,50
earthlink.net,0.01839344340661353,54
rainberrytv.com,0.04833408697973007,50
armgs.team,0.049267399267399314,52
khanacademy.org,0.0,54
globenewswire.com,0.012387853692201523,46
ucdavis.edu,0.03356848912404464,54
bazaarvoice.com,0.09827177208549076,51
tenable.com,0.030229290319283453,48
advertising.com,0.02317668731593736,50
techradar.com,0.0835864211666637,18
cbr.ru,0.06843064610954586,52
sendbird.com,0.02136028760579234,50
waze.com,0.17342255598158673,48
kagoya.net,0.0,54
mercadolibre.com,0.0,54
ddnss.de,0.01436308667149544,54
netscape.com,0.023069356001441776,20
google.ch,0.04296296296296298,45
e-planning.net,0.000515425962742011,54
chicagotribune.com,0.14849313599313596,6
lego.com,0.001595960194875179,12
aarp.org,0.0,4
capcut.com,0.0320504448090686,49
arizona.edu,0.004582210242587648,53
thawte.com,0.0,54
