domain,screenshot_difference,samples
pngwing.com,0.05523605269773035,49
leprogres.fr,0.0004006410256409687,8
huawei.ru,0.012992357436801827,54
snowflake.com,0.014285714285714235,1
elo7.com.br,0.013605442176870763,1
olx.in,0.13175736743225563,54
theplatform.com,5.878894767785692e-05,54
rentalcars.com,0.0,54
indiewire.com,0.005952380952380931,5
kff.org,0.004437104933626146,52
investors.com,0.019474634958310477,54
solvvy.com,7.448789571695702e-05,50
newtoki323.com,0.08886254561048323,51
inventos.ru,0.14740726592949294,54
newtoki322.com,0.06056221187911137,51
helpguide.org,0.0,50
dunelm.com,0.021575481036384292,52
ankr.com,0.008711486556846615,46
nfpa.org,0.0031746031746031633,43
stradivarius.com,0.04010976361832819,50
tesla.cn,0.025139865981971266,50
l-tike.com,0.0011689062027637753,50
googlemail.com,0.0,54
openedition.org,0.0,54
nseindia.com,0.00041753653444676075,5
swr.de,0.0,12
ams1907.com,0.0,55
researchnow.com,0.0009657796249490369,50
ensonhaber.com,0.17777493379748632,28
symphony.com,0.009972882154351659,53
tantanapp.com,0.004332347097301126,54
trusteer.com,0.012648809523809534,48
zoznam.sk,0.08494682437599987,22
octopus.energy,8.975049362769383e-05,54
vsco.co,0.0,50
uptodown.com,0.03628830922695858,44
etrade.com,0.0,51
ultipro.com,0.0010964912280702066,54
sisal.it,0.0,21
viva.co.id,0.1807714961428999,12
dnsv5.com,0.013053173589572031,54
etoro.com,0.00015923566878983664,50
blackrussia.online,0.0312768680106863,51
midasbuy.com,0.013457302785441883,45
solaredge.com,0.02381158412565021,51
cybersource.com,0.03421516754850085,54
owasp.org,0.002915997859818109,48
palmettostatearmory.com,0.10646093388811839,8
uxfeedback.ru,0.04536433247349081,49
zoneedit.com,0.0,54
expediagroup.com,0.019917882431967793,49
plannedparenthood.org,0.009157509157509125,52
diamond.jp,0.06628960122763161,37
idealmedia.io,0.0029463947248371536,54
twitcasting.tv,0.02327275342294899,45
mandrillapp.com,0.020408163265306145,49
qatarairways.com,0.0012187690432663434,12
takashimaya.co.jp,0.06195492863536656,47
underarmour.com,0.03809161963909102,41
irctc.co.in,0.009564076939865274,48
browserstack.com,0.07366382270969118,36
webinar.ru,0.001206349206349211,25
firstcry.com,0.0039058021398964415,6
yaklass.ru,0.015378690282280116,54
bookshop.org,0.008897474549779849,53
obsproject.com,0.020000000000000018,50
squadhelp.com,0.03363466531143422,39
vhlcentral.com,0.0,54
udmserve.net,0.020081921482614007,54
walesonline.co.uk,0.0,7
pingdom.com,0.001224489795918382,50
steelseries.com,0.0017561634582911045,47
towardsdatascience.com,0.0,36
digitalspy.com,0.024564616669879857,26
ricoh.com,0.00029441205911795443,54
cumhuriyet.com.tr,0.2536772172118932,10
truffle.bid,0.0,54
actuals.io,0.0027244855362024145,51
rajasthan.gov.in,0.018500273672687473,29
toranoana.jp,0.04852676000035816,50
liu.se,0.0,54
jagran.com,0.03816793893129766,1
rawstory.com,0.10341651812240049,4
careerbuilder.com,0.0,54
videosection.com,0.0053915039577419055,50
cmail19.com,0.0,54
prothomalo.com,0.04834560559481582,48
swissinfo.ch,0.024010922575405047,21
peakgames.net,0.0,55
tv-asahi.co.jp,0.04871369035799966,47
blurb.com,0.01942857142857146,50
codecanyon.net,0.0,30
aweber.com,0.00044687266024845407,52
goo-net.com,0.004039058767319581,20
express.de,0.0,1
simontokx.info,0.024617871840094008,54
namebright.com,0.11067019400352729,36
carrefour.es,0.0,24
abbott.com,0.11291989664082691,43
algolia.io,0.00011998680145186569,53
newtoki321.com,0.07539990045315825,54
lidl.com,0.05554327563237982,52
icons8.com,0.005912147218024355,51
saso.gov.sa,0.021843145942952114,46
jal.co.jp,0.004464285714285698,6
