domain,screenshot_difference,samples
xhamster2.com,0.0,55
yts.mx,0.2179460607320869,50
infonline.de,0.0,50
gelbooru.com,0.04616201622561733,48
xhamster3.com,0.09952159079900857,50
e-hentai.org,0.10461194727705225,51
nairaland.com,0.02750847440449966,54
pewresearch.org,0.0,54
aniwave.to,0.0,50
nesine.com,0.004233811762861306,27
aznude.com,0.006616718740457994,36
oreilly.com,0.0009523809523809268,55
iporntv.net,0.010464686450105565,53
aniwatch.to,0.022222222222222254,45
jable.tv,0.0022526694847273543,51
4kporn.xxx,0.08078699251967458,50
egnyte.com,0.0,54
litnet.com,0.0,31
donmai.us,0.035673992132378096,54
xvideos2.com,0.033127710880716754,52
su89-cdn.net,0.0010234200318202102,45
xnxx.tv,0.02718870149086705,53
ilmeteo.it,0.001561305803302493,46
ixxx.com,0.00037348272642390157,17
hqporner.com,0.030142577924928582,50
ok.xxx,0.007344691337021647,50
xnxx.health,0.0370464203642481,47
jd.com,0.030328181033418833,18
love4porn.com,0.08955649253800868,48
russianfood.com,0.03840444431336587,44
mathtag.com,0.0,53
wordwall.net,0.0013114406687373403,54
cardgames.io,0.07003972630422395,29
cnnindonesia.com,0.12080871853537545,7
pornhat.com,0.027733251248824864,29
gst.gov.in,0.0010729487094263135,52
sexvid.xxx,0.006206274670044976,37
tenki.jp,0.09516000643237144,18
samokat.ru,0.011714342576331416,46
hdtube.porn,0.133733901990557,32
medicalnewstoday.com,0.005983572878734189,20
anydesk.com,0.00371428571428567,50
suumo.jp,0.03508155034834881,48
shahvani.com,0.0,54
sun.com,0.015927993603632173,52
xnxx2.com,0.006473420121910545,52
dw.com,0.05259902704689656,32
uidai.gov.in,0.07973394781331355,49
wisc.edu,0.0,53
twilio.com,0.028404656106982507,16
oricon.co.jp,0.056529062723900125,10
fanpage.it,0.0,20
syosetu.com,0.011235781974899273,24
turkiye.gov.tr,0.007996406109613607,53
mathplayground.com,0.01296932244633231,42
science.org,0.03239141411236712,54
iltalehti.fi,0.0,21
mat6tube.com,0.08664580142786771,54
inps.it,0.001969305989406478,30
substack.com,0.09879598280194224,10
funnyjunk.com,0.057258218671871086,47
betnacional.com,0.008230614733171326,18
cox.net,0.04489795918367345,14
xinhuanet.com,0.012350913644673112,54
neopets.com,0.001643355966070903,44
dnevnik.ru,0.0,50
ptt.cc,0.02684438566134939,50
y2mate.com,0.0,54
cnbcindonesia.com,0.060018398772689774,31
karnataka.gov.in,0.005173427395649632,54
amarujala.com,0.057418806328373595,18
motherless.com,0.0,54
gartner.com,0.00035835243419424234,49
sakura.ne.jp,6.214267959236963e-05,54
khabaronline.ir,0.10495615834399907,54
skyeng.ru,0.004670612833878152,49
python.org,0.0,51
haber7.com,0.018435155412647397,15
snaptik.app,0.048687327953338855,30
fc2.com,0.015161146511844747,54
geocities.com,0.6441149008623057,2
zearn.org,0.01399869203607118,54
programme-tv.net,0.0,46
3bmeteo.com,0.0006337688919817452,54
jutarnji.hr,0.0,10
lwsdns.com,0.0,54
carsensor.net,0.05554658774997756,12
peachavocado.com,0.000676072898295077,54
xhwide4.com,0.011293937249351238,54
protothema.gr,0.01255411255411254,11
algolia.net,0.0,50
mediaexpert.pl,0.0,5
myreadingmanga.info,0.00017692852087758393,54
kidsa-z.com,0.0,54
blic.rs,0.009529019653260029,15
sxyprn.com,0.041413987556494725,54
aadrm.com,0.02951388888888884,6
ssstik.io,0.025296278559576724,53
fantia.jp,0.09072334475560284,52
vtb.ru,0.0,17
bookmyshow.com,0.0215873015873016,50
upwitheaway.info,0.0011780400669288982,54
almasryalyoum.com,0.0937831177089623,41
hanime1.me,0.06938775510204087,42
hinet.net,0.04846387785190853,44
game8.jp,0.02756592800419666,19
mygov.in,0.06997099933050621,6
toppr.com,0.0,54
librus.pl,0.14814692938035112,52
epfindia.gov.in,0.005301675867128486,54
9animetv.to,0.21847681400564278,23
mangago.me,0.0021770550776968323,50
ruliweb.com,0.21978021978021978,1
filmweb.pl,0.0008943916706719568,31
namasha.com,0.025575447570332477,2
fapello.com,0.015685294394951477,51
caliente.mx,0.003769816335351228,51
kurir.rs,0.05534852672309054,9
sedo.com,0.0008714131084439636,51
rezka.ag,0.0,43
xhamster1.desi,0.013009648303765942,51
mangakakalot.com,0.00014690493000391047,52
marmiton.org,0.0,52
pussyspace.com,0.058778177530678044,53
cmoa.jp,0.0008130081300813385,12
fuq.com,0.0,18
rakuten-sec.co.jp,0.02755757516278079,36
bato.to,0.024669496335636865,52
joyclub.de,0.0,55
nitrotype.com,0.000935206849125847,54
topmanhua.com,0.00029441280325925856,54
porn300.com,0.01075515772725888,51
pixbet.com,0.0,54
manganato.com,0.013569710207610441,50
vidoomy.com,0.018920634920634893,50
brainly.co.id,0.0048232376243111386,33
cxense.com,0.010167906446789887,51
serviporno.com,0.016343446694895958,54
zorox.to,0.0,50
lausd.net,0.04874779541446206,45
dhl.com,0.0004285714285714448,50
jav.guru,0.0,54
snapinsta.app,0.03669381732918153,44
mechacomic.jp,0.061878295270133776,53
spankbang.party,0.02323606791252031,50
fabswingers.com,0.0008249444952281859,54
fararu.com,0.0667946101891761,54
xvideos3.com,0.5598708505267721,51
xvideos.es,0.015229797550057045,51
sportybet.com,0.0010917056561543514,9
freshsexvideos.com,0.026867481069094423,52
colamanga.com,0.008171663727219336,54
xhtab3.com,0.0,54
supjav.com,0.0005901379797904616,54
onlyindianx.cc,0.025950236281744754,54
betway.co.za,0.01161971095392944,52
tukif.com,0.02650133635020424,55
spaggiari.eu,0.039984753192300326,53
elsevier.com,0.0,52
hot-sex-tube.com,0.00030435289838659507,54
gdz.ru,0.1046836665469203,33
ijavhd.com,0.015618970874737736,49
music-fa.com,0.0018240244501238623,54
wnacg.com,0.029845633142021377,54
visortmo.com,0.035925332298744395,39
doujindesu.tv,0.0193502109439051,54
komikindo.tv,0.0,54
theqoo.net,0.04379979248596089,54
beboo.ru,0.0005317300666963787,54
sikayetvar.com,0.017245684344102008,40
onlinesbi.sbi,0.004990958697241865,50
ninisite.com,0.019029195634785667,39
freeip.me,0.0,54
ifilo.net,0.07858747405300037,47
recaptcha.net,0.0,54
xxxvideo.link,0.022413669314592433,50
fatalmodel.com,0.0,51
pornocarioca.com,0.020500572806630424,49
jcpenney.com,0.001336675020885525,19
lxtgame.com,0.05942080438276731,54
listcrawler.eu,0.00029488086812923253,54
sexvid.pro,0.0008394075594677641,37
emaktab.uz,0.0,50
hkppay.com,0.001969429747207485,54
azet.sk,0.01708931127818225,30
croxyproxy.com,0.09447612006073414,41
negozioxporn.com,0.06630114869825254,51
toyhou.se,0.012830089903999142,54
ucweb.com,0.0016186777110622774,54
xnxx3.com,0.002999126377697392,55
imgsrc.ru,0.008242992050566555,54
prokerala.com,0.032946021958532024,50
1mg.com,0.010028964600137469,30
hibiny.ru,0.0947905774828055,50
propluslogics.com,0.054567007145629565,42
yallakora.com,0.0005606969234189796,54
njuskalo.hr,0.004966967621608198,42
patria.org.ve,0.0,51
qorno.com,0.0,24
list.am,0.03263837839864736,41
sectigo.com,0.013826602384341635,51
saednews.com,0.1070231139586314,20
livescore.in,0.0,14
porno666.link,2.9441205911751034e-05,54
cardmarket.com,0.00017692852087758393,54
yako.red,0.0004185495676948259,54
sonnenbatterie.de,0.0,54
altibbi.com,0.041167922962058956,49
tubidy.cool,0.0,54
storysaver.net,0.09982210132204783,47
skelbiu.lt,8.88888888889161e-05,54
animeflv.net,0.04357298474945537,54
bingoplus.com,0.05013612999494266,49
ytmp3.nu,0.0,54
eroterest.net,0.004442724253370889,54
dondominio.com,0.0,51
autoplius.lt,0.0006203794552092079,54
skipthegames.com,0.0006224712107064656,51
zinmanga.com,0.00023515579071131665,54
hentai.name,0.0018126520681265301,50
anybunny.org,0.0674822385177406,52
sex4arab.xxx,0.06551958611253683,46
xoso.com.vn,0.1550022531659755,39
kakuyomu.jp,0.01775676372314483,51
syosetu.org,0.011167684226600416,44
extra.cz,0.010190391090624251,37
999.md,0.012290341237709668,21
publi24.ro,0.08767641665658421,46
singular.net,0.0,51
conectate.com.do,0.046703229003224433,40
mamastar.jp,0.033035368151655975,49
xxxsexjav.com,0.0449851952507998,54
screener.in,0.00029394473838917357,54
truyenfull.vn,0.019695743101936225,54
xxxin.mobi,0.0,51
69shuba.com,0.0,54
skokka.com,0.048595848595848645,20
humoruniv.com,0.010180510290607403,52
