domain,screenshot_difference,samples
lfstrm.tv,0.0,52
publpush.com,5.846243788365513e-05,55
skynet.be,0.0044021291460014655,18
honda.com,0.030099941211052306,54
infobip.com,0.0,2
kingsgroupgames.com,0.0,50
raiffeisen.ru,0.1284807673071876,21
olo.com,0.007773560309792149,36
br.de,0.0,18
afterpay.com,0.007738095238095211,48
transip.nl,0.0,54
in.gov,0.0030349872876855866,53
sketchup.com,0.0,51
rice.edu,0.0,54
withbuddies.com,0.002102540449520518,54
hardened-php.net,0.0,54
hud.gov,7.964954201511443e-05,54
eldiario.es,0.011772486772486768,12
rome2rio.com,0.006052749239829569,39
newgrounds.com,0.0,53
hismarttv.com,0.002186283318358795,53
ukyuh.tech,0.0,54
britishcouncil.org,0.04711779448621556,19
scn-net.ne.jp,0.015492900684761168,50
apptimize.com,0.0,55
imghst-de.com,0.001293356848912408,54
otzovik.com,0.02723496919714119,46
smashingmagazine.com,0.009157509157509125,52
eia.gov,0.0,54
seek.com.au,0.0,6
websense.com,0.0,51
8x8.com,0.13620760141083643,10
xhamsterlive.com,0.029434316645266412,55
michigan.gov,0.0,30
tractorsupply.com,0.11352040816326536,7
pp.ua,0.053998076402269946,54
domain.com,0.0029304040279858334,54
liveabout.com,0.12035993169436443,31
stitcher.com,0.0,51
value-domain.com,0.0063891805869158436,54
deltadna.net,0.0003233392122280465,54
europapress.es,0.04991876262671602,25
mass.gov,0.0,19
estadao.com.br,0.12552974131011718,16
telenet.be,0.0,30
nd.edu,0.01809583944439197,50
google.com.nf,0.0,52
domaintools.com,0.0937566137566137,15
hostia.name,0.002693344807802589,50
apachelounge.com,0.025635566079035943,54
dr.dk,0.0,6
fitanalytics.com,0.003238382695089026,54
snapfish.com,0.0,6
larkplayerapp.com,0.3106458875457717,34
boingboing.net,0.02662037037037035,2
gazeta.ru,0.14220045170943674,47
reasonsecurity.com,0.007341545381783998,22
usp.br,0.0004761904761905189,50
upi.com,0.017247872770444705,6
opensuse.org,6.178883286700465e-05,52
easydns.com,0.0,54
buffalo.edu,0.022144792876500174,41
accompany.com,0.0,54
pearson.com,0.007360588847107774,29
cdn-tinkoff.ru,0.00011757789535571384,54
onlamp.com,0.003495293146239753,54
lyft.com,0.023152020717685406,39
cnil.fr,0.0,50
zazzle.com,0.0004697947829979121,54
mailerlite.com,0.013563423849706102,42
cointelegraph.com,0.0721833039313653,19
pravda.ru,0.15421767498227912,42
xmlsoft.org,0.0,54
yandex.by,0.0013020284552737182,54
propublica.org,0.0,32
mango-office.ru,0.06391633756256654,49
partner.co.il,0.009420068546608262,7
syncthing.net,6.018476723546051e-05,53
uservoice.com,0.1791111111111111,50
zappos.com,0.07068497972697785,25
aliexpress.us,0.0009671179883945502,6
dailyinnovation.biz,0.0,54
google.sr,0.007515387107223881,49
secomtrust.net,0.0,54
getgreenshot.org,0.05314351554856278,46
nuance.com,0.0,50
exitgames.com,0.02286034277093696,39
interfax.ru,0.08746811940526478,26
teachable.com,0.0015665283415227105,52
directnic.com,0.0,54
sfr.fr,0.028633675692499194,51
cpx.to,0.0,54
td.com,0.0005305114638447517,54
hetzner.com,0.1093013602071573,54
nus.edu.sg,0.0012759170653907637,55
volvocars.com,0.0,6
au.com,0.028807633054350967,51
merchant-center-analytics.goog,0.0,54
eclipse.org,0.0,50
freetype.org,0.0,53
sndcdn.com,0.01869739852905894,54
tmweb.ru,0.004081632653061273,42
tbs.co.jp,0.026607538802660757,41
klclick.com,0.06272270266741153,53
reclameaqui.com.br,0.11676254026691213,10
msdn.com,0.039935821754003564,26
tide.co,0.011551755205005954,51
www.gov.pl,0.0,55
jivo.ru,0.0,51
infomaniak.com,0.103678885025009,41
bhphotovideo.com,0.0069877261723673145,53
guardingvision.com,0.0001185185185185178,54
boardgamegeek.com,0.0009960159362549792,12
inquirer.com,0.08730158730158732,1
newsroom.bi,0.001651428746774819,53
farpost.ru,0.0,50
matchtv.ru,0.26848591549295775,2
youdao.com,0.00017636684303345973,54
netlify.com,0.006471075933949688,53
nbcuni.com,0.24918280725709763,35
vwgroup.com,0.01533159822633512,52
heroku.com,0.011404472658601228,44
e-recht24.de,0.003550107069829611,52
slickstream.com,0.00029394473838917357,54
mmc.com,0.0015082956259426794,51
harborfreight.com,0.0006933777612841974,55
cdn.house,0.004232804232804255,24
weathercn.com,0.0010582010582010914,54
scholastic.com,0.036054421768707434,14
zee5.com,0.1517857142857143,4
razer.com,0.006115366816975221,51
circleci.com,0.013081154286435415,24
tn.gov,0.0663379704235314,41
lexisnexis.com,0.0,54
diigo.com,0.0174086410437988,54
kia.com,0.18571428571428572,2
home.blog,0.0008747422688776263,54
playtika.com,0.016650388047580567,53
jedox.com,0.00044682752457547714,6
samsungmax.com,0.1309904153354633,6
moma.org,0.02313432214534905,52
dior.com,0.0,6
benzinga.com,0.07031750851975571,3
planethoster.net,0.019238268555829996,49
dartmouth.edu,3.500665126376923e-05,46
discover.com,0.023939099449303503,49
aruba.it,0.03261890162848624,33
uh.edu,0.0,34
telecomsvc.com,0.0,54
enlightenment.org,0.0,51
wise.com,0.2667550893749908,40
webdav.org,0.0,52
globalsign.net,0.013638779271350043,49
hyundai.com,0.0,3
bdstatic.com,0.004237374247989978,54
buienradar.nl,0.023034985670836616,45
uic.edu,0.0,54
insiderintelligence.com,0.00952380952380949,10
bradesco.com.br,0.0005668972650576531,51
ghostery.com,0.031209732047349892,51
blueconic.net,0.00025525138365656286,52
eastmoney.com,0.0020458265139116083,12
pinduoduo.com,0.015726716659710704,54
sytes.net,0.0,54
blick.ch,0.0,1
atera.com,0.0022416413373860244,47
indeed.net,0.03392311977267737,43
myworkday.com,0.0,54
shop.app,0.080105327855439,18
linewize.net,0.0,53
roche.com,0.050364239943134215,52
mihanwebhost.com,0.002717101531939825,50
nber.org,0.034551495016611256,43
groupme.com,0.0,52
ivideon.com,0.0,50
elperiodico.com,0.0,3
saby.ru,0.04177602852746276,23
adskeeper.com,0.004553069729560599,54
boldchat.com,0.0029276854715882816,55
monster.com,0.0038461538461538325,52
blogspot.com.es,0.0,54
poste.it,0.010755639051679866,15
caranddriver.com,0.00013443570612359235,54
sunista.info,0.06071428571428572,32
tcgplayer.com,0.0049015059205061995,54
atw.jp,0.0001358238210538154,50
gmu.edu,0.05006435006435006,37
amung.us,0.04425524636508327,52
stspg-customer.com,0.0,24
tiny.cc,0.04358401208664653,34
126.net,0.0,54
mca.gov.in,0.0010401850903642984,54
sedoparking.com,0.0,4
k8s.io,0.0009112286890065047,54
dyndns.com,0.25467313915857603,50
ally.com,0.08379345957314088,47
cbs.com,0.013756660488686623,54
simply.com,0.0,51
cafebazaar.ir,0.04424301875283276,54
allianz.de,0.0,12
paylocity.com,0.003809523809523818,5
powerplatform.com,0.03413913779505806,48
bspb.ru,0.07452981516195234,50
tradingeconomics.com,0.025909509445521173,52
getui.com,0.05264655344569802,54
sharechat.com,0.010471754944696987,33
dnaindia.com,0.0,1
turbify.com,0.0006050553344990606,52
opera-mini.net,0.0004884004884004867,52
modsecurity.org,0.0,54
novofon.com,0.0,46
theage.com.au,0.0,2
cnr.it,0.0,54
f5silverline.com,0.029708415128184562,36
dhgate.com,0.041978230580474785,11
quark.cn,0.20864518098389062,50
rtmark.net,0.0,54
eluniversal.com.mx,0.0035714285714285587,7
linkr.bio,0.04397345429010413,48
faceueditor.com,0.1622954451854377,8
suntimes.com,0.3475330022689327,34
ohio.gov,0.0,54
srf.ch,0.13876562990239827,6
counterpane.com,0.0,53
mastodon.social,0.03196773541784159,54
dropboxstatic.com,0.0,54
ucsc.edu,0.028151889263000385,54
easyanticheat.net,0.0,17
actionverb.com,0.0,54
resetdigital.co,0.05844765161913912,52
ubs.com,0.29387755102040813,7
samhsa.gov,0.01848739495798324,50
f2pool.com,0.00034867503486746276,6
we.tl,0.04101266072522469,52
hisavana.com,0.0,54
streamable.com,0.00016534391534395176,48
dealertrack.com,0.029607332216603832,36
kahoot.com,0.0591440787734947,54
kustomerapp.com,0.08437950937950933,44
bac.com,0.08398994230078594,46
athemes.com,0.0,53
apps.chrome,0.0,54
nic.cz,0.00720884150423351,52
vizio.com,0.0,15
sleepycat.com,0.009749419793123382,52
gboxlab.com,0.0,54
redis.io,0.0,54
formstack.com,0.018767836358850043,51
castbox.fm,0.0014343086632243596,7
royalsocietypublishing.org,0.0,54
like-video.com,0.0,53
imoim.net,0.0,54
eufylife.com,0.01196406688693441,18
gigaset.net,0.0,50
goto.com,0.03133532104362213,17
gdms.cloud,0.004642316087037357,53
ondemand.com,0.053968253968254,10
sky.it,0.0,2
dtscout.com,0.0,54
c212.net,0.02307914729412308,48
wondershare.com,0.3552613242381959,22
imperial.ac.uk,0.00016420361247948545,29
yr.no,0.001410934744268122,54
sena.edu.co,0.0019197896120972668,45
mangadex.org,0.017730124109966883,29
ijg.org,0.0,54
serverwatch.com,0.06077957783341836,45
bible.com,0.0,50
manchester.ac.uk,0.0012345679012345512,54
blackboard.com,0.2282828282828283,44
excite.co.jp,0.012130801687763704,4
simplecloud.ru,0.0,46
therealreal.com,0.020707080241902487,49
torproject.org,0.0,54
scopus.com,0.018321683049776993,54
betterttv.net,0.008023658085025143,54
bhg.com,0.08650248844274566,18
ropro.io,0.0030467364987268875,54
snackvideo.com,0.0008663793244783058,55
liongard.com,0.010905349794238628,54
zotero.org,0.0,51
acast.com,0.0011428571428571122,50
channelnewsasia.com,0.22798913043478264,4
pb.com,0.0,51
arte.tv,0.008302808302808273,52
uu.nl,0.0,52
codecademy.com,0.02394179894179893,12
