domain,screenshot_difference,samples
leadsquared.com,0.0665071273306801,47
buyma.com,0.02256728778467909,23
liveworksheets.com,0.0033491891912023064,33
anysex.com,0.008837659100114914,52
icc-cricket.com,0.00035108540511652464,39
poringa.net,0.049644774726310126,51
playmods.net,0.01765715023401171,30
olx.co.id,0.14707021295675837,49
sudinfo.be,0.0004761904761905189,40
simontokx.xyz,0.027924750146972377,54
inria.fr,0.0,51
storm.mg,0.10267460823633878,9
smbc-card.com,0.014709460193331192,54
faloo.com,0.0,54
rtbf.be,0.008016032064128265,5
acint.net,0.0,54
fout.jp,0.003997648442092938,54
wikimapia.org,0.0001764603071792159,54
siftscience.com,0.0,43
alarm.com,0.0171468168033867,50
lavoz.com.ar,0.06866166255988071,3
unibo.it,0.011237087427563575,54
dataprivacyframework.gov,0.020048309178744006,46
markt.de,0.007699760142761081,45
femmeactuelle.fr,0.0,46
heavy-r.com,0.0006729010033608152,54
pdffiller.com,0.002273745930101212,42
rapidssl.com,0.0,51
igg.com,0.0,53
hashicorp.com,0.04764615434276975,34
autoblog.com,0.1553911534065242,39
lmco.com,0.05887445887445886,33
telone.co.zw,0.16340784984597023,21
insanony.com,0.024714906183459395,54
phpmyadmin.net,0.0171162789366327,53
fanfox.net,0.007936507936507908,47
jobbase.io,0.0,54
hpsmart.com,0.0010136454754953172,54
world.co.jp,0.05887445887445886,33
24.hu,0.09090909090909094,11
clodo.ru,0.04208430271026331,51
edublogs.org,0.010088770921441337,49
dotloop.com,0.002087007642563199,54
streamlabs.com,0.06964498046543233,29
ancestry.co.uk,0.0,54
uniview.com,0.0,30
trouble-free.net,0.00012248897599220765,52
itsm365.com,0.0,34
togetter.com,0.07084400777895572,4
behave.com,0.0,54
mercadolibre.com.ve,0.036935828493458556,53
tabnak.ir,0.09016005220420276,15
icicidirect.com,0.018860558632718516,50
mediamarkt.es,0.020699071986865936,47
elsob7.com,0.12019460415745242,6
housing.com,0.002454809370186939,28
adlooxtracking.com,0.0,54
eleconomista.es,0.002645502645502673,6
nami.org,0.004544653852440073,51
incontact.com,0.0008937728937729039,50
meetcircle-blue.co,0.0,54
akc.org,0.0838459819340257,47
shop-pro.jp,0.05451320884236477,51
royalroad.com,0.0,54
tcd.ie,0.004482714138286936,51
pictoa.com,0.034799641115531355,51
hentaihaven.xxx,0.006338695469369049,54
iaea.org,0.10830160102385322,47
prodoctorov.ru,0.007117879300620467,30
bstats.org,0.002015641636919696,52
csfd.cz,0.04916241653083764,25
krakow.pl,0.009187276030037883,52
klevu.com,0.0,49
poder360.com.br,0.05141547553210779,26
callrail.com,0.02678763451841759,55
bitbucket.io,0.02139917695473248,54
hdzog.com,0.2857142857142857,7
hopto.org,0.0,54
donya-e-eqtesad.com,0.05374186673358716,48
sondakika.com,0.04543643296272393,43
thalia.de,0.03981590097319265,36
curbed.com,0.0477443595851309,31
bc.edu,0.010182689427972402,53
kyoto-u.ac.jp,0.0,51
r-project.org,0.000705467372134061,54
erothots.co,0.04886753489764217,47
labanquepostale.fr,0.049206349206349254,2
wowma.jp,0.18995334795807217,7
