domain,screenshot_difference,samples
kamigame.jp,0.01443001443001446,11
pointi.jp,0.0,54
gitbook.com,0.010719838979380225,17
gimy.ai,0.0,54
max.porn,0.009663355882531643,51
chittorgarh.com,0.006345368700076515,49
nfse.gov.br,0.004980079681274896,4
reapertrans.com,0.13514778571661246,10
komikcast.net,0.0,16
nowosci.com.pl,0.0,18
xnxx1.info,0.0,54
articlepost.net,0.0018550581251546294,52
bqg9527.net,0.043783560512185016,45
superuser.com,0.02532939026120473,52
kantotin.com,0.018710152428548676,54
klikpendidikan.id,0.0024875621890547706,2
ticketmaster.com.mx,0.15383273398909625,39
readli.net,0.05418906868860229,22
037hdmovie.com,0.13135075536609386,49
starbucks.com.cn,0.0451203711904985,45
fairyanime.net,0.0,54
ranobelib.me,0.0,52
sf.net,0.034009891894888566,31
colearn.id,0.0,53
wfp.org,0.0,7
josporn.club,0.002958401881994921,35
pinayflixtv.com,0.01186807106856358,50
codeproject.com,0.010190053550858114,42
fordham.edu,0.027579365079365092,32
mobiledokan.com,0.0,33
nebo.mobi,0.00041669741618777234,54
shareaholic.com,0.004901960784313708,51
tlife.gr,0.031671391114260206,46
odysee.com,0.16312003711139011,13
wapbold.com,0.018158754484161266,51
jdoqocy.com,0.0024691358024691024,54
petardashd.com,0.0,54
nan-net.com,0.01637973822472727,48
sellatuparley.com,0.0010266470940628603,54
st-andrews.ac.uk,0.0,50
truyenyy.pro,0.0146703831646533,55
maersk.com,0.0,54
kotak811.com,3.0525030525030417e-05,52
unemi.edu.ec,3.205128205130414e-05,50
cyberghostvpn.com,0.004798163671162037,19
flashscore.co,0.007738095238095211,16
muyzorras.com,0.012484239083511595,54
enama.ir,0.013351154408432708,46
solopornoitaliani.xxx,0.015028125002780612,50
hamyar.in,0.0024103468547912454,54
2ch2.net,0.034119121471234415,21
bakecaincontrii.com,0.01443071787577388,49
manga-za.net,0.13338027462198043,52
pornobolt.me,0.0,36
cam4.es,0.15931918969767922,45
sleeknote.com,0.00022323105487409567,51
gk24.pl,0.0,48
nosto.com,0.010739856718027463,47
sportsport.ba,0.05549030040265679,48
jagat.io,0.007199999999999984,54
cam4.fr,0.07312584365575103,47
hoidap247.com,0.036389659157308185,43
rupiahtoto168.io,0.01683058159814521,54
taz.de,0.018780554218466805,52
anilife.live,0.0005897617362585761,54
takarakuji-official.jp,0.032657599513329694,46
eredmenyek.com,0.009335529928610642,6
olm.vn,0.02854407861794661,44
sassa.gov.za,0.07660540159901064,55
yourdictionary.com,0.019968768776710277,47
agones.gr,0.010020970485921321,21
fap.desi,0.07239597008428655,51
xvideos69.xxx,0.026007324546157395,53
lanazione.it,0.005645055598255122,54
xnxxme.com,0.0,54
aoxx69.net,0.10151706003429983,42
baji.live,0.0003334466674661529,50
megogo.net,0.01675485008818345,54
prajavani.net,0.07719138350048238,18
bodycontact.com,0.013619047619047642,50
nextcloud.com,0.0,52
animesaturn.tv,0.027408250196234274,53
escort-advisor.com,0.0,52
lettuceclub.net,0.00422088564935541,40
bdimg.com,0.037138514526631194,48
ftc.ru,0.0,3
wav.tv,0.04373605400868896,12
mangamirror.com,0.00880990957372274,51
flashscore.sk,0.024761904761904763,10
promotions.hu,0.008050913322149356,46
hamgamdars.com,0.0,54
udvash-unmesh.com,0.008932461873638387,51
xvideosxnxx.org,0.052296109741721164,43
escortsandbabes.com.au,0.05791505791505791,1
cxwelcome.com,0.0,54
coinpan.com,0.013556054454478828,54
deliriumbet.com,0.00035385704175516786,54
v-cloud.bio,0.00035385704175516786,54
shalove.net,0.0,54
allpaanel.com,0.005079475802461597,54
filmesporno.net.br,0.0,54
aagmaal.run,0.0,52
lottovip.com,0.02807415380504974,53
xxxvideosex.net,0.0,54
dpsports.bet,0.030947707745093367,54
suki-kira.com,0.01840613739968755,50
jeetbuzz.com,0.037203381374432354,54
holoo.fun,0.011572318745782129,54
garotacomlocal.com,0.03044023877357216,54
cybertyrant.com,0.5777777777777777,1
justindianporn2.net,0.005495361495857165,54
freesexkahani.com,0.12333945038651506,47
tdgall.com,0.04371779519604191,49
xvideosbr.blog,0.0,54
teensexmix.com,0.0,54
xforum.live,0.021509052426656017,50
masutabe.info,0.014697236919459122,54
fbsquads.com,0.0006098901098900988,50
arc.io,0.0,52
yadong.cam,0.0005307855626327518,54
sengokuixa.jp,0.10622544260334776,54
novel543.com,0.0007719570565506428,53
mt.gov,0.0073175211973165455,54
queropassagem.com.br,0.04133333333333333,50
villagesexvideos.com,0.262224419753746,21
line010.com,0.0,53
hjwzw.com,0.007876082490751668,53
gaimup.net,0.06188484915312764,50
case-battle.io,0.004924510497758883,54
daryo.uz,0.06060890872657865,52
informebrasil.com.br,0.023911433114765623,46
gmanga.org,0.03378823073945025,41
dropgame.jp,0.0023000059291240493,51
webxseries.com,0.0,1
galleriaborghese.it,0.009841269841269873,55
vamos.bet,0.0013949654585292404,54
mcwbd55.com,0.12987547686024126,30
livescore.cz,0.02503247551170873,52
typography.com,0.0,53
newspapers.com,0.006302364932708082,50
dzexams.com,0.021632653061224527,50
ketqua9.net,0.16956320367715172,54
pcloud.com,0.0003807781074117722,53
hometogel008.com,0.0,54
hph.co.ir,0.10518857142857141,15
lto.gov.ph,0.00017692852087758393,54
coches.net,0.00015796937832479596,54
1and1.com,0.039696159727931946,35
enphaseenergy.com,0.024731211847536128,52
tunwalai.com,0.006637168141592875,2
boosty.to,0.004938271604938316,54
amaporn.com,0.14266204350590173,45
