domain,screenshot_difference,samples
carwale.com,0.003403135960387882,10
gamingbible.com,0.0,3
zalando.pl,0.0,3
guidestar.org,0.0,52
sporx.com,0.033504738858640803,5
tiermaker.com,0.019385667523965422,47
lachainemeteo.com,0.03530253703548636,17
nld.com.vn,0.0,50
airdroid.com,0.0023370670836577734,51
wixapps.net,0.0,54
onward.co.jp,0.05226503834888774,49
homedepot.com.mx,0.14414366595895256,6
cuisineaz.com,0.012032770097286205,31
evidence.com,0.0,54
codashop.com,0.15685576350179653,45
eiga.com,0.004098360655737654,2
gay0day.com,0.0022975619652292334,54
hespress.com,0.11515120710414728,49
adorocinema.com,0.08544303797468356,1
citibank.com,0.08149222784640464,25
eskimi.com,0.0,50
unt.edu,0.0,44
dc.gov,0.001735456590642892,54
makeup.com.ua,0.0,18
fotogramas.es,0.0,18
microsofttranslator.com,0.04347826086956519,46
typingtest.com,0.007682539682539735,50
maybank2u.com.my,0.018471833177715502,51
quovadisglobal.com,0.0,55
slobodnadalmacija.hr,0.0,3
crossmh.ru,0.0,54
ifood.tv,0.0009049185152687489,51
aksam.com.tr,0.041411380764830974,22
rusvideos.cc,0.05940594059405946,8
forocoches.com,0.06818181818181812,2
vi.net,0.00044850905778059946,54
ukdevilz.com,0.19642533079270974,54
sparkpost.com,4.07331975560421e-05,50
gramedia.com,0.006739528759192259,22
osf.io,0.05317384317407581,52
state.co.us,0.026601998824221096,54
pluralsight.com,0.06678408516928702,52
stardewvalleywiki.com,0.022905429701546187,42
ambitionbox.com,0.03454312420967487,47
asianwiki.com,0.0004041578452753658,43
fancode.com,0.004981041059489266,30
gazzetta.gr,0.016889281469171458,10
o2online.de,0.0364432249960428,45
gamepind.com,0.0,54
qxbroker.com,0.0,54
mangaclash.com,0.051232118407822935,15
mandmdirect.com,0.005766062602965416,6
dagospia.com,0.0,47
driftt.com,0.05305151892432125,44
123moviesfree.net,0.0019607843137254832,51
ijogo.com,0.008952101139601099,24
pornpics.de,0.018906617192331443,50
thegay.com,0.21547121188625395,14
porntop.com,0.005678073894617608,46
meteociel.fr,0.020846754956808322,45
vinmec.com,0.12855840029753074,11
anghami.com,0.007091630915028513,23
sailthru.com,0.0049023417109756995,54
flashback.org,0.07188646987660996,16
quay.io,0.0003527336860670305,54
dzone.com,0.004849098733119894,53
sparkpostmail.com,0.0,54
getty.edu,0.015961480133454664,54
adtdp.com,0.0,54
pswec.com,0.0,54
forever21.com,0.0004660169678178949,55
reflected.net,0.011980161621064411,52
philly.com,0.0,1
lioden.com,0.0020825852782764276,50
bromium-online.com,0.0001322751322750948,54
trimble.com,0.006004366376506143,51
financialpost.com,0.023046460907593103,5
mtvuutiset.fi,0.11383219954648527,7
sltrib.com,0.16249999999999998,4
amazon.jobs,0.005555555555555536,32
soha.vn,0.0701049097982388,22
urbanoutfitters.com,0.0008687733406834708,54
wikiwiki.jp,0.040497458125699826,17
disa.mil,0.0,54
icrc.org,0.0031344105097482755,54
vb24131crasosnemesis.com,0.0,54
hentaiheroes.com,0.0,48
bikewale.com,0.00796421471172959,18
nobroker.in,0.019652305366591127,21
eitaa.com,0.0,6
zing.vn,0.0,1
blogtalkradio.com,0.005792428445004938,54
immoweb.be,0.0036508179652450234,54
nic.fr,0.009492685963274239,51
cloudez.io,0.06365687580004109,29
mofa.go.jp,0.006656614205384326,54
imginn.com,0.00555159646797343,48
uni-hamburg.de,0.014468135077454036,54
mouseflow.com,0.0,8
drexel.edu,0.01922015182884751,46
multporn.net,0.050055898871488425,25
bancogalicia.com.ar,0.021632401210192387,52
ontario.ca,0.0,50
sumup.com,0.07748848287987731,52
ixigo.com,0.006179038795599334,11
bonprix.de,0.0,52
r7.com,0.0,2
masrawy.com,0.03639454705762668,10
nrw.de,0.0,11
repl.co,0.0,42
dzcdn.net,0.0048409922654485404,52
mocospace.com,0.035863817256109654,49
vatanbilgisayar.com,0.03740921368381189,51
exhera.com,0.0022927689594356426,54
tiempo.com,0.007894736842105288,4
gazetakrakowska.pl,0.0,17
decathlon.in,0.019263612100059113,53
sxyprn.net,0.05278993747220995,18
akakce.com,0.048876289979812526,50
dota2.com,0.007263554251926374,50
ccc.eu,0.0,6
canalrcn.com,0.0,30
iteratehq.com,0.0004492362982928544,53
uvm.edu,0.0,50
wi.gov,0.13029135105812417,33
famecoretail.com,0.022609486709382676,31
spicychat.ai,0.0,1
iefimerida.gr,0.011705203612574655,39
ozon.by,0.030864197530864224,5
hasznaltauto.hu,0.03525056562760154,45
mtb.com,0.011145617667356778,46
fortnite.gg,0.026492658870578167,9
tala.ir,0.026948560661647192,41
allure.com,0.15129379211853433,5
reshak.ru,0.0172587075118259,53
plati.market,0.010073024255704888,52
sc-jpl.com,0.0,54
sport24.gr,0.005456349206349187,9
foreignaffairs.com,0.00037984022403558804,19
parivahan.gov.in,0.01096696212233328,45
scribblehub.com,0.036056757870773226,48
7mmtv.sx,0.02400677192862677,43
vodafone.co.uk,0.03738977072310401,27
doramy.club,0.0004149164596656263,54
pdfcoffee.com,0.007610619065085755,27
nefisyemektarifleri.com,0.15734442675191673,9
a.co,0.0,3
blendlabs.com,0.0,51
imo.im,0.02163700001053337,51
uem.mz,0.0005134788189987693,19
sverigesradio.se,0.0021071644439799586,38
doramalive.ru,0.019342453013659888,40
tue.nl,0.0005767012687427631,51
getbeamer.com,0.0869301680882334,47
yealink.com,0.05757430949761866,49
mycloud.com,0.0,54
cic.fr,0.017331016795426146,46
leggo.it,0.0601926655228916,29
embedly.com,0.0023310810810810434,50
kupujemprodajem.com,0.0,2
campaign-archive2.com,0.13033191739549677,28
hellosehat.com,0.09599999999999997,5
us.org,0.0,50
myherbalife.com,0.002026228234876748,54
epicentrk.ua,0.009955395179858217,51
une.net.co,0.0323809523809524,15
brother.com,0.06779103105395201,23
toast.com,0.03004920890315277,53
licindia.in,0.015489808835089991,36
haraj.com.sa,0.05695446057828979,48
fmovies.co,0.0033360566448801254,54
nomura.co.jp,0.04488637909679527,46
freecash.com,0.024417754209703157,28
microsoft.net,0.0,40
tabletki.ua,0.05660263366574825,31
nexcess.net,0.0015276768782507277,26
displate.com,0.13068046023851465,16
googl.com,0.010668272188070316,52
floors.dev,0.0,54
cashify.in,0.019343766190947242,6
imunify360.com,0.026287109394449226,54
pm52.ru,0.00033311125916057893,38
pudelek.pl,0.0,6
yiv.com,0.02429945812279044,38
sensacine.com,0.031694036080178956,49
conforama.fr,0.00028320958196126345,51
ushareit.com,0.0011334879278427357,52
qwant.com,0.0,54
pipedrive.com,0.0028571428571428914,10
cinepolis.com,0.204398675784218,8
spiritfanfiction.com,0.0027629786140624946,45
jjgirls.com,0.01576082783394739,49
animesuge.to,0.0,50
oprah.com,0.027769192107858554,46
