domain,screenshot_difference,samples
haxx.se,0.0,54
timesofisrael.com,0.1077088431165355,26
cancer.gov,0.01832884097035037,53
wufoo.com,0.00012698412698408656,50
wikidot.com,0.0,53
rainbird.com,0.036111111475838675,51
inmotionhosting.com,0.009289804960555537,53
afrinic.net,0.012992357436801827,54
db.com,0.018416126338174466,55
technorail.com,0.046587209185931844,47
ilo.org,0.0,53
arkoselabs.com,0.025022834236601454,40
nurd.com,0.0,54
trafficfactory.biz,0.02814054587353476,51
focus.de,0.01410958681179264,16
cctv.com,0.07768440709617175,34
likeevideo.ru,0.0053947846988313675,50
duosecurity.com,0.036766792745787424,50
arcticwolf.net,0.0,21
cpan.org,0.0,52
helpshift.com,0.00013147109664746193,50
schneier.com,0.0,54
usercentrics.eu,0.008394455371427245,52
leagueoflegends.com,0.04615186060625143,42
iop.org,0.012688425552983884,54
immobilienscout24.de,0.0,47
odoo.com,0.012707103311271895,54
tenda.com.cn,0.04933750070741294,23
porsche.com,0.008641872977349307,52
aol.co.uk,0.3799206349206349,5
threatlocker.com,0.0,51
progressive.com,0.04387033475160773,43
isc.org,0.0,54
tubemogul.com,0.0,54
atg.se,0.029973435613562915,47
google.com.sg,0.0357777777777778,50
wb.ru,0.06638782256695153,49
king.com,0.05984303246980138,48
code42.com,0.11187119067824747,50
clickagy.com,0.0,54
paramountplus.com,0.032275132275132234,51
texas.gov,0.0016192504690907272,50
nyc.gov,0.007655502392344471,55
ucsb.edu,0.0,50
woo.com,0.0,30
wargaming.net,0.38095238095238093,21
amagi.tv,0.00597866250325263,50
toyota.com,0.0,6
clickup.com,0.04160337914652923,48
anker-in.com,0.04489484867519744,49
siue.edu,0.07799564270152504,51
redbubble.com,0.0,1
zenlogic.net,0.0,54
finam.ru,0.15467454587796925,5
vrbo.com,0.14211533454503322,53
lg.co.kr,0.0,6
curl.se,0.0,54
thefreedictionary.com,0.016588245681687708,26
wustl.edu,0.015952800873435757,54
zend.com,0.0,50
kahoot.it,0.0,53
flic.kr,0.0,54
novell.com,0.022662095159782458,47
tubitv.com,0.0031615251963977853,51
cvs.com,0.0,4
softonic.com,0.0,1
crunchbase.com,0.0005063291139240089,50
salon.com,0.01629913248484316,53
brightspace.com,0.018407118166098413,44
houzz.com,0.017989417989418,6
tapclap.com,0.012414484548242566,54
ed.ac.uk,0.0,54
usembassy.gov,0.0,52
ccc.de,0.0,54
swannsecurity.com,0.001419952113478229,54
okx.com,0.04352424073753913,55
hiaiabc.com,0.0,54
ncsu.edu,0.0,48
planningcenteronline.com,0.003467068597736711,54
google.com.bd,0.02177852474323061,51
google.fi,0.012982426034212402,52
kpmg.com,0.015568680657810363,41
google.co.il,0.00038933812518715527,53
sense.com,0.016167020201380944,31
imagemagick.org,0.06364185229060482,51
fifa.com,0.00017863615181479275,54
indiana.edu,0.04358730158730162,50
libbyshelf.com,0.02172643648250605,49
userway.org,0.006106870229007577,15
seekingalpha.com,0.05269869802480609,18
paypal.me,0.06860948026670666,53
greenpeace.org,0.0,52
mpg.de,0.001931259395143825,28
chegg.com,0.0,54
qnap.com,0.046248954260015185,46
catawiki.com,0.025935012768598664,24
kinopoisk.ru,0.06452380952380954,45
tagesschau.de,0.05426644120802193,18
over-blog.com,0.0013031875669511361,54
transcend.io,0.007466196355085275,54
createjs.com,0.09065358665733292,55
videolan.org,0.02715426366078655,54
is.gd,0.017030167434949228,49
jnj.com,0.00044642857142851433,32
cygwin.com,0.011516379601485993,47
olympics.com,0.0006317014929322351,28
bostonglobe.com,0.06252073689500703,50
sonnen.de,0.0,53
quantcast.com,0.002057613168724326,54
yumpu.com,0.0,35
flightradar24.com,0.00023515579071131665,54
univie.ac.at,0.0,41
google.ie,0.0,36
heise.de,0.0,6
liveintent.com,0.006023859630086337,53
eventbrite.co.uk,0.11447732509001651,24
foxsports.com,0.048805256869772995,3
lonelyplanet.com,0.17647058823529416,17
nzherald.co.nz,0.0720438957475995,6
qiniudns.com,0.0,54
ow.ly,0.0009548570110300414,34
mimecast.net,0.0,51
keenetic.pro,0.001410934744268122,54
ibosscloud.com,0.0014538339207526008,52
ohchr.org,0.003322122031673258,52
pardot.com,0.047071702892905964,52
grindr.com,0.0312998095197532,51
zara.com,0.07774999999999999,50
likee.com,0.0,36
iterable.com,0.05504433682194898,35
usaa.com,0.0,54
fliphtml5.com,0.0011539643971486546,50
getdropbox.com,0.017086120245266456,8
