domain,control_diff,experimental_diff,diff_in_diff
pansy.pw,0.03867102396514155,0.03867102396514155,0.0
stlouisfed.org,0.0,0.0,0.0
leeds.ac.uk,0.0005847953216374657,0.0,-0.0005847953216374657
convertio.co,0.0035173617918654587,0.003652311200193714,0.00013494940832825542
lolesports.com,0.0198301811325432,0.008637307677048733,-0.011192873455494468
unixtools.org,0.0,0.0,0.0
hwccpc.com,0.0,0.0,0.0
emerald.com,0.0,0.0012514305617753463,0.0012514305617753463
artnet.com,0.036235593750204464,0.03322552852646865,-0.003010065223735814
chinanews.com.cn,0.0053817823394833875,0.007641464227767125,0.0022596818882837377
groww.in,0.0018216809455320337,0.0019456841801828162,0.00012400323465078245
irna.ir,0.010151639629543463,0.005570335617808508,-0.004581304011734955
clinch.co,0.0,0.0,0.0
jiathis.com,0.0,0.0,0.0
lbl.gov,0.0,0.0,0.0
sony.net,0.0,0.0,0.0
mehrnews.com,0.05082616814141727,0.06329252505369531,0.012466356912278043
gopsahome.info,0.02806754579804227,0.02806754579804227,0.0
tube8.com,0.0,0.0,0.0
gitee.com,0.010417975285218706,0.01299773106102775,0.002579755775809045
local.ch,0.0002142189442178033,0.0002142189442178033,0.0
vrtcal.com,0.0,0.0,0.0
pin.it,0.14714733947281566,0.10483542351569197,-0.04231191595712369
ahnlab.com,0.0008584182398041484,0.01915965259690189,0.01830123435709774
clickbank.net,0.0,0.0,0.0
cntv.cn,0.018882721905752797,0.058654410860267125,0.03977168895451433
deepai.org,0.0,0.0,0.0
pfizer.com,0.04706840599377937,0.046094161662374566,-0.0009742443314048055
vidio.com,0.03605321285595209,0.038900613586921096,0.0028474007309690075
trenitalia.com,0.0,0.0,0.0
apkmirror.com,0.10069044823141537,0.1325389174250987,0.03184846919368334
pixlr.com,0.0,0.0024432534678435758,0.0024432534678435758
rustore.ru,0.0906301649912119,0.11853597297374485,0.02790580798253295
boe.es,0.0,0.0,0.0
macworld.com,0.025040547589164075,0.024245984197788117,-0.0007945633913759576
telenor.se,0.001967412990467765,0.001967412990467765,0.0
boun.edu.tr,0.0,0.0,0.0
semana.com,0.006137061029662494,0.006137061029662494,0.0
cfr.org,6.25250100040331e-05,6.25250100040331e-05,0.0
kinoafisha.info,0.14528809281100297,0.15065661438060352,0.005368521569600548
msk.ru,0.04483763530391338,0.04483763530391338,0.0
megagroup.ru,0.003788378376105239,0.006253935720171855,0.0024655573440666156
dji.com,0.002843583182255194,0.002843583182255194,0.0
simplisafe.com,0.038868734907445246,0.042950453634782004,0.004081718727336758
wyndhamhotels.com,0.014771912319541003,0.04482501960779739,0.030053107288256387
altavista.com,0.17023742701958133,0.2030776610968864,0.032840234077305075
publicstuff.com,0.0,0.0,0.0
bartleby.com,0.03445657332700525,0.03445657332700525,0.0
radissonhotels.com,0.040299978881221166,0.22266501034414998,0.18236503146292882
